aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
CJ1,Flatwing,0,-10,41000,0.7,0,,,,,
CJ1,Flatwing,0,0,41000,0.7,0,,,,,
CJ1,Flatwing,0,-10,41000,0.7,230,,,,,
CJ1,Flatwing,0,0,41000,0.7,230,,,,,
CJ1,Flatwing,0,-10,41000,0.7,460,,,,,
CJ1,Flatwing,0,0,41000,0.7,460,,,,,
CJ1,Flatwing,0,-10,41000,0.7,690,,,,,
CJ1,Flatwing,0,0,41000,0.7,690,,,,,
CJ1,Flatwing,0,-10,41000,0.7,920,,,,,
CJ1,Flatwing,0,0,41000,0.7,920,,,,,
CJ1,Flatwing,0,-10,41000,0.7,1150,,,,,
CJ1,Flatwing,0,0,41000,0.7,1150,,,,,
CJ1,Flatwing,0,-10,41000,0.69,0,,,,,
CJ1,Flatwing,0,0,41000,0.69,0,,,,,
CJ1,Flatwing,0,-10,41000,0.69,230,,,,,
CJ1,Flatwing,0,0,41000,0.69,230,,,,,
CJ1,Flatwing,0,-10,41000,0.69,460,,,,,
CJ1,Flatwing,0,0,41000,0.69,460,,,,,
CJ1,Flatwing,0,-10,41000,0.69,690,,,,,
CJ1,Flatwing,0,0,41000,0.69,690,,,,,
CJ1,Flatwing,0,-10,41000,0.69,920,,,,,
CJ1,Flatwing,0,0,41000,0.69,920,,,,,
CJ1,Flatwing,0,-10,41000,0.69,1150,,,,,
CJ1,Flatwing,0,0,41000,0.69,1150,,,,,
CJ1,Flatwing,0,-10,41000,0.68,0,,,,,
CJ1,Flatwing,0,0,41000,0.68,0,,,,,
CJ1,Flatwing,0,-10,41000,0.68,230,,,,,
CJ1,Flatwing,0,0,41000,0.68,230,,,,,
CJ1,Flatwing,0,-10,41000,0.68,460,,,,,
CJ1,Flatwing,0,0,41000,0.68,460,,,,,
CJ1,Flatwing,0,-10,41000,0.68,690,,,,,
CJ1,Flatwing,0,0,41000,0.68,690,,,,,
CJ1,Flatwing,0,-10,41000,0.68,920,,,,,
CJ1,Flatwing,0,0,41000,0.68,920,,,,,
CJ1,Flatwing,0,-10,41000,0.68,1150,,,,,
CJ1,Flatwing,0,0,41000,0.68,1150,,,,,
CJ1,Flatwing,0,-10,39000,0.7,0,,,,,
CJ1,Flatwing,0,0,39000,0.7,0,,,,,
CJ1,Flatwing,0,-10,39000,0.7,230,,,,,
CJ1,Flatwing,0,0,39000,0.7,230,,,,,
CJ1,Flatwing,0,-10,39000,0.7,460,,,,,
CJ1,Flatwing,0,0,39000,0.7,460,,,,,
CJ1,Flatwing,0,-10,39000,0.7,690,,,,,
CJ1,Flatwing,0,0,39000,0.7,690,,,,,
CJ1,Flatwing,0,-10,39000,0.7,920,,,,,
CJ1,Flatwing,0,0,39000,0.7,920,,,,,
CJ1,Flatwing,0,-10,39000,0.7,1150,,,,,
CJ1,Flatwing,0,0,39000,0.7,1150,,,,,
CJ1,Flatwing,0,-10,39000,0.69,0,,,,,
CJ1,Flatwing,0,0,39000,0.69,0,,,,,
CJ1,Flatwing,0,-10,39000,0.69,230,,,,,
CJ1,Flatwing,0,0,39000,0.69,230,,,,,
CJ1,Flatwing,0,-10,39000,0.69,460,,,,,
CJ1,Flatwing,0,0,39000,0.69,460,,,,,
CJ1,Flatwing,0,-10,39000,0.69,690,,,,,
CJ1,Flatwing,0,0,39000,0.69,690,,,,,
CJ1,Flatwing,0,-10,39000,0.69,920,,,,,
CJ1,Flatwing,0,0,39000,0.69,920,,,,,
CJ1,Flatwing,0,-10,39000,0.69,1150,,,,,
CJ1,Flatwing,0,0,39000,0.69,1150,,,,,
CJ1,Flatwing,0,-10,39000,0.68,0,,,,,
CJ1,Flatwing,0,0,39000,0.68,0,,,,,
CJ1,Flatwing,0,-10,39000,0.68,230,,,,,
CJ1,Flatwing,0,0,39000,0.68,230,,,,,
CJ1,Flatwing,0,-10,39000,0.68,460,,,,,
CJ1,Flatwing,0,0,39000,0.68,460,,,,,
CJ1,Flatwing,0,-10,39000,0.68,690,,,,,
CJ1,Flatwing,0,0,39000,0.68,690,,,,,
CJ1,Flatwing,0,-10,39000,0.68,920,,,,,
CJ1,Flatwing,0,0,39000,0.68,920,,,,,
CJ1,Flatwing,0,-10,39000,0.68,1150,,,,,
CJ1,Flatwing,0,0,39000,0.68,1150,,,,,
CJ1,Flatwing,0,-10,37000,0.7,0,,,,,
CJ1,Flatwing,0,0,37000,0.7,0,,,,,
CJ1,Flatwing,0,-10,37000,0.7,230,,,,,
CJ1,Flatwing,0,0,37000,0.7,230,,,,,
CJ1,Flatwing,0,-10,37000,0.7,460,,,,,
CJ1,Flatwing,0,0,37000,0.7,460,,,,,
CJ1,Flatwing,0,-10,37000,0.7,690,,,,,
CJ1,Flatwing,0,0,37000,0.7,690,,,,,
CJ1,Flatwing,0,-10,37000,0.7,920,,,,,
CJ1,Flatwing,0,0,37000,0.7,920,,,,,
CJ1,Flatwing,0,-10,37000,0.7,1150,,,,,
CJ1,Flatwing,0,0,37000,0.7,1150,,,,,
CJ1,Flatwing,0,-10,37000,0.69,0,,,,,
CJ1,Flatwing,0,0,37000,0.69,0,,,,,
CJ1,Flatwing,0,-10,37000,0.69,230,,,,,
CJ1,Flatwing,0,0,37000,0.69,230,,,,,
CJ1,Flatwing,0,-10,37000,0.69,460,,,,,
CJ1,Flatwing,0,0,37000,0.69,460,,,,,
CJ1,Flatwing,0,-10,37000,0.69,690,,,,,
CJ1,Flatwing,0,0,37000,0.69,690,,,,,
CJ1,Flatwing,0,-10,37000,0.69,920,,,,,
CJ1,Flatwing,0,0,37000,0.69,920,,,,,
CJ1,Flatwing,0,-10,37000,0.69,1150,,,,,
CJ1,Flatwing,0,0,37000,0.69,1150,,,,,
CJ1,Flatwing,0,-10,37000,0.68,0,,,,,
CJ1,Flatwing,0,0,37000,0.68,0,,,,,
CJ1,Flatwing,0,-10,37000,0.68,230,,,,,
CJ1,Flatwing,0,0,37000,0.68,230,,,,,
CJ1,Flatwing,0,-10,37000,0.68,460,,,,,
CJ1,Flatwing,0,0,37000,0.68,460,,,,,
CJ1,Flatwing,0,-10,37000,0.68,690,,,,,
CJ1,Flatwing,0,0,37000,0.68,690,,,,,
CJ1,Flatwing,0,-10,37000,0.68,920,,,,,
CJ1,Flatwing,0,0,37000,0.68,920,,,,,
CJ1,Flatwing,0,-10,37000,0.68,1150,,,,,
CJ1,Flatwing,0,0,37000,0.68,1150,,,,,
CJ1,Flatwing,0,-10,35000,0.7,0,,,,,
CJ1,Flatwing,0,0,35000,0.7,0,,,,,
CJ1,Flatwing,0,-10,35000,0.7,230,,,,,
CJ1,Flatwing,0,0,35000,0.7,230,,,,,
CJ1,Flatwing,0,-10,35000,0.7,460,,,,,
CJ1,Flatwing,0,0,35000,0.7,460,,,,,
CJ1,Flatwing,0,-10,35000,0.7,690,,,,,
CJ1,Flatwing,0,0,35000,0.7,690,,,,,
CJ1,Flatwing,0,-10,35000,0.7,920,,,,,
CJ1,Flatwing,0,0,35000,0.7,920,,,,,
CJ1,Flatwing,0,-10,35000,0.7,1150,,,,,
CJ1,Flatwing,0,0,35000,0.7,1150,,,,,
CJ1,Flatwing,0,-10,35000,0.69,0,,,,,
CJ1,Flatwing,0,0,35000,0.69,0,,,,,
CJ1,Flatwing,0,-10,35000,0.69,230,,,,,
CJ1,Flatwing,0,0,35000,0.69,230,,,,,
CJ1,Flatwing,0,-10,35000,0.69,460,,,,,
CJ1,Flatwing,0,0,35000,0.69,460,,,,,
CJ1,Flatwing,0,-10,35000,0.69,690,,,,,
CJ1,Flatwing,0,0,35000,0.69,690,,,,,
CJ1,Flatwing,0,-10,35000,0.69,920,,,,,
CJ1,Flatwing,0,0,35000,0.69,920,,,,,
CJ1,Flatwing,0,-10,35000,0.69,1150,,,,,
CJ1,Flatwing,0,0,35000,0.69,1150,,,,,
CJ1,Flatwing,0,-10,35000,0.68,0,,,,,
CJ1,Flatwing,0,0,35000,0.68,0,,,,,
CJ1,Flatwing,0,-10,35000,0.68,230,,,,,
CJ1,Flatwing,0,0,35000,0.68,230,,,,,
CJ1,Flatwing,0,-10,35000,0.68,460,,,,,
CJ1,Flatwing,0,0,35000,0.68,460,,,,,
CJ1,Flatwing,0,-10,35000,0.68,690,,,,,
CJ1,Flatwing,0,0,35000,0.68,690,,,,,
CJ1,Flatwing,0,-10,35000,0.68,920,,,,,
CJ1,Flatwing,0,0,35000,0.68,920,,,,,
CJ1,Flatwing,0,-10,35000,0.68,1150,,,,,
CJ1,Flatwing,0,0,35000,0.68,1150,,,,,
CJ1,Tamarack,0,-10,41000,0.7,0,,,,,
CJ1,Tamarack,0,0,41000,0.7,0,,,,,
CJ1,Tamarack,0,-10,41000,0.7,294,,,,,
CJ1,Tamarack,0,0,41000,0.7,294,,,,,
CJ1,Tamarack,0,-10,41000,0.7,589,,,,,
CJ1,Tamarack,0,0,41000,0.7,589,,,,,
CJ1,Tamarack,0,-10,41000,0.7,883,,,,,
CJ1,Tamarack,0,0,41000,0.7,883,,,,,
CJ1,Tamarack,0,-10,41000,0.7,1177,,,,,
CJ1,Tamarack,0,0,41000,0.7,1177,,,,,
CJ1,Tamarack,0,-10,41000,0.7,1471,,,,,
CJ1,Tamarack,0,0,41000,0.7,1471,,,,,
CJ1,Tamarack,0,-10,41000,0.69,0,,,,,
CJ1,Tamarack,0,0,41000,0.69,0,,,,,
CJ1,Tamarack,0,-10,41000,0.69,294,,,,,
CJ1,Tamarack,0,0,41000,0.69,294,,,,,
CJ1,Tamarack,0,-10,41000,0.69,589,,,,,
CJ1,Tamarack,0,0,41000,0.69,589,,,,,
CJ1,Tamarack,0,-10,41000,0.69,883,,,,,
CJ1,Tamarack,0,0,41000,0.69,883,,,,,
CJ1,Tamarack,0,-10,41000,0.69,1177,,,,,
CJ1,Tamarack,0,0,41000,0.69,1177,,,,,
CJ1,Tamarack,0,-10,41000,0.69,1471,,,,,
CJ1,Tamarack,0,0,41000,0.69,1471,,,,,
CJ1,Tamarack,0,-10,41000,0.68,0,,,,,
CJ1,Tamarack,0,0,41000,0.68,0,,,,,
CJ1,Tamarack,0,-10,41000,0.68,294,,,,,
