aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,0,41000,0.7,0,n/p
CJ1,Flatwing,0,0,41000,0.69,0,n/p
CJ1,Flatwing,0,0,41000,0.68,0,n/p
CJ1,Flatwing,0,0,41000,0.67,0,n/p
CJ1,Flatwing,0,0,41000,0.66,0,n/p
CJ1,Flatwing,0,0,41000,0.65,0,n/p
CJ1,Flatwing,0,0,41000,0.64,0,n/p
CJ1,Flatwing,0,0,41000,0.63,0,n/p
CJ1,Flatwing,0,0,41000,0.62,0,n/p
CJ1,Flatwing,0,0,39000,0.7,0,n/p
CJ1,Flatwing,0,0,39000,0.69,0,n/p
CJ1,Flatwing,0,0,39000,0.68,0,n/p
CJ1,Flatwing,0,0,39000,0.67,0,222
CJ1,Flatwing,0,0,39000,0.66,0,223
CJ1,Flatwing,0,0,39000,0.65,0,226
CJ1,Flatwing,0,0,39000,0.64,0,230
CJ1,Flatwing,0,0,39000,0.63,0,234
CJ1,Flatwing,0,0,39000,0.62,0,238
CJ1,Flatwing,0,0,37000,0.7,0,n/p
CJ1,Flatwing,0,0,37000,0.69,0,n/p
CJ1,Flatwing,0,0,37000,0.68,0,n/p
CJ1,Flatwing,0,0,37000,0.67,0,208
CJ1,Flatwing,0,0,37000,0.66,0,210
CJ1,Flatwing,0,0,37000,0.65,0,214
CJ1,Flatwing,0,0,37000,0.64,0,218
CJ1,Flatwing,0,0,37000,0.63,0,222
CJ1,Flatwing,0,0,37000,0.62,0,226
CJ1,Flatwing,0,0,35000,0.66,0,199
CJ1,Flatwing,0,0,35000,0.65,0,202
CJ1,Flatwing,0,0,35000,0.64,0,206
CJ1,Flatwing,0,0,35000,0.63,0,211
CJ1,Flatwing,0,0,35000,0.62,0,215
CJ1,Tamarack,0,0,41000,0.7,0,n/p
CJ1,Tamarack,0,0,41000,0.69,0,n/p
CJ1,Tamarack,0,0,41000,0.68,0,n/p
CJ1,Tamarack,0,0,41000,0.67,0,241
CJ1,Tamarack,0,0,41000,0.66,0,242
CJ1,Tamarack,0,0,41000,0.65,0,246
CJ1,Tamarack,0,0,41000,0.64,0,251
CJ1,Tamarack,0,0,41000,0.63,0,256
CJ1,Tamarack,0,0,41000,0.62,0,261
CJ1,Tamarack,0,0,39000,0.7,0,n/p
CJ1,Tamarack,0,0,39000,0.69,0,n/p
CJ1,Tamarack,0,0,39000,0.68,0,223
CJ1,Tamarack,0,0,39000,0.67,0,224
CJ1,Tamarack,0,0,39000,0.66,0,228
CJ1,Tamarack,0,0,39000,0.65,0,233
CJ1,Tamarack,0,0,39000,0.64,0,237
CJ1,Tamarack,0,0,39000,0.63,0,242
CJ1,Tamarack,0,0,39000,0.62,0,247
CJ1,Tamarack,0,0,37000,0.66,0,215
CJ1,Tamarack,0,0,37000,0.65,0,219
CJ1,Tamarack,0,0,37000,0.64,0,224
CJ1,Tamarack,0,0,37000,0.63,0,228
CJ1,Tamarack,0,0,37000,0.62,0,233
CJ1,Tamarack,0,0,35000,0.66,0,202
CJ1,Tamarack,0,0,35000,0.65,0,206
CJ1,Tamarack,0,0,35000,0.64,0,211
CJ1,Tamarack,0,0,35000,0.63,0,215
CJ1,Tamarack,0,0,35000,0.62,0,220
