aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
C208B,Flatwing,0,0,15000,0.4,0,,,,,
C208B,Flatwing,0,0,15000,0.4,300,,,,,
C208B,Flatwing,0,0,15000,0.4,600,,,,,
C208B,Flatwing,0,0,15000,0.4,900,,,,,
C208B,Flatwing,0,0,15000,0.4,1200,,,,,
C208B,Flatwing,0,0,15000,0.4,1500,,,,,
C208B,Flatwing,0,0,15000,0.4,1800,,,,,
C208B,Flatwing,0,0,15000,0.4,2100,,,,,
C208B,Flatwing,0,0,15000,0.4,2400,,,,,
C208B,Flatwing,0,0,15000,0.39,0,,,,,
C208B,Flatwing,0,0,15000,0.39,300,,,,,
C208B,Flatwing,0,0,15000,0.39,600,,,,,
C208B,Flatwing,0,0,15000,0.39,900,,,,,
C208B,Flatwing,0,0,15000,0.39,1200,,,,,
C208B,Flatwing,0,0,15000,0.39,1500,,,,,
C208B,Flatwing,0,0,15000,0.39,1800,,,,,
C208B,Flatwing,0,0,15000,0.39,2100,,,,,
C208B,Flatwing,0,0,15000,0.39,2400,,,,,
C208B,Flatwing,0,0,15000,0.38,0,,,,,
C208B,Flatwing,0,0,15000,0.38,300,,,,,
C208B,Flatwing,0,0,15000,0.38,600,,,,,
C208B,Flatwing,0,0,15000,0.38,900,,,,,
C208B,Flatwing,0,0,15000,0.38,1200,,,,,
C208B,Flatwing,0,0,15000,0.38,1500,,,,,
C208B,Flatwing,0,0,15000,0.38,1800,,,,,
C208B,Flatwing,0,0,15000,0.38,2100,,,,,
C208B,Flatwing,0,0,15000,0.38,2400,,,,,
C208B,Flatwing,0,0,15000,0.37,0,,,,,
C208B,Flatwing,0,0,15000,0.37,300,,,,,
C208B,Flatwing,0,0,15000,0.37,600,,,,,
C208B,Flatwing,0,0,15000,0.37,900,,,,,
C208B,Flatwing,0,0,15000,0.37,1200,,,,,
C208B,Flatwing,0,0,15000,0.37,1500,,,,,
C208B,Flatwing,0,0,15000,0.37,1800,,,,,
C208B,Flatwing,0,0,15000,0.37,2100,,,,,
C208B,Flatwing,0,0,15000,0.37,2400,,,,,
C208B,Flatwing,0,0,15000,0.36,0,,,,,
C208B,Flatwing,0,0,15000,0.36,300,,,,,
C208B,Flatwing,0,0,15000,0.36,600,,,,,
C208B,Flatwing,0,0,15000,0.36,900,,,,,
C208B,Flatwing,0,0,15000,0.36,1200,,,,,
C208B,Flatwing,0,0,15000,0.36,1500,,,,,
C208B,Flatwing,0,0,15000,0.36,1800,,,,,
C208B,Flatwing,0,0,15000,0.36,2100,,,,,
C208B,Flatwing,0,0,15000,0.36,2400,,,,,
C208B,Flatwing,0,0,15000,0.35,0,,,,,
C208B,Flatwing,0,0,15000,0.35,300,,,,,
