aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
C208B,Flatwing,0,0,15000,0.3,0,1434.6200628648062
C208B,Flatwing,0,0,13000,0.3,0,1434.6200628648062
C208B,Flatwing,0,0,11000,0.3,0,1434.6200628648062
C208B,Flatwing,0,0,9000,0.3,0,1434.6200628648062
C208B,Flatwing,0,0,7000,0.3,0,1434.6200628648062
C208B,Flatwing,0,0,5000,0.3,0,1434.6200628648062
C208B,Tamarack,0,0,15000,0.3,0,1485.1658099678027
C208B,Tamarack,0,0,13000,0.3,0,1485.1658099678027
C208B,Tamarack,0,0,11000,0.3,0,1485.1658099678027
C208B,Tamarack,0,0,9000,0.3,0,1485.1658099678027
C208B,Tamarack,0,0,7000,0.3,0,1485.1658099678027
C208B,Tamarack,0,0,5000,0.3,0,1485.1658099678027
