aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ,Flatwing,0,0,41000,0.65,0,100,600,False,3440,9840,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,238,100,600,False,3440,10078,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,475,100,600,False,3440,10315,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,712,100,600,False,3288,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,950,100,600,False,3050,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,1188,100,600,False,2812,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,1425,100,600,False,2575,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,1662,100,600,False,2338,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.65,1900,100,600,False,2100,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,0,100,600,False,3440,9840,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,238,100,600,False,3440,10078,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,475,100,600,False,3440,10315,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,712,100,600,False,3288,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,950,100,600,False,3050,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,1188,100,600,False,2812,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,1425,100,600,False,2575,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,1662,100,600,False,2338,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Flatwing,0,0,41000,0.64,1900,100,600,False,2100,10400,error,Not Enough Fuel for Flatwing.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,0,100,600,False,3440,9918,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,278,100,600,False,3440,10196,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,555,100,600,False,3366,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,833,100,600,False,3088,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,1111,100,600,False,2810,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,1388,100,600,False,2533,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,1666,100,600,False,2255,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,1944,100,600,False,1977,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.65,2221,100,600,False,1700,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,0,100,600,False,3440,9918,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,278,100,600,False,3440,10196,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,555,100,600,False,3366,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,833,100,600,False,3088,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,1111,100,600,False,2810,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,1388,100,600,False,2533,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,1666,100,600,False,2255,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,1944,100,600,False,1977,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
CJ,Tamarack,0,0,41000,0.64,2221,100,600,False,1700,10400,error,Not Enough Fuel for Tamarack.,,,,,,,True,,True,
