aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
CJ1,Flatwing,0,0,41000,0.66,0,1471.4032736148256,259,2740,39763,432
CJ1,Flatwing,0,0,41000,0.66,164,1422.2748427251697,250,2686,39540,432
CJ1,Flatwing,0,0,41000,0.66,329,1320.7587336217728,234,2521,39540,430
CJ1,Flatwing,0,0,41000,0.66,493,1221.0210377057476,218,2357,39540,428
CJ1,Flatwing,0,0,41000,0.66,657,1121.3093910496198,202,2193,39540,427
CJ1,Flatwing,0,0,41000,0.66,821,1022.5096823481748,186,2029,39540,425
CJ1,Flatwing,0,0,41000,0.66,986,923.6101829058763,169,1864,39540,423
CJ1,Flatwing,0,0,41000,0.66,1150,826.082587581012,153,1700,39540,421
CJ1,Tamarack,0,0,41000,0.66,0,1672.763655547859,297,2740,42506,424
CJ1,Tamarack,0,0,41000,0.66,210,1540.0014162791579,275,2561,42451,423
CJ1,Tamarack,0,0,41000,0.66,420,1390.627644676886,250,2351,42451,421
CJ1,Tamarack,0,0,41000,0.66,631,1241.95971313266,226,2140,42451,419
CJ1,Tamarack,0,0,41000,0.66,841,1095.467983451467,201,1930,42451,417
CJ1,Tamarack,0,0,41000,0.66,1051,950.2341860890937,177,1720,42451,414
CJ1,Tamarack,0,0,41000,0.66,1261,806.3597037384875,153,1510,42451,412
CJ1,Tamarack,0,0,41000,0.66,1471,663.7272365646677,128,1300,42451,410
