aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.66,0,100,600,False,3440,10590,ok,,1471.4032736148256,259,2740,39763,432,39763,True,0.65,True,700
CJ1,Flatwing,0,0,41000,0.66,164,100,600,False,3386,10700,ok,,1422.2748427251697,250,2686,39540,432,39540,True,0.65,True,700
CJ1,Flatwing,0,0,41000,0.66,329,100,600,False,3221,10700,ok,,1320.7587336217728,234,2521,39540,430,39540,True,0.65,True,700
CJ1,Flatwing,0,0,41000,0.66,493,100,600,False,3057,10700,ok,,1221.0210377057476,218,2357,39540,428,39540,True,0.65,True,700
CJ1,Flatwing,0,0,41000,0.66,657,100,600,False,2893,10700,ok,,1121.3093910496198,202,2193,39540,427,39540,True,0.65,True,700
CJ1,Flatwing,0,0,41000,0.66,821,100,600,False,2729,10700,ok,,1022.5096823481748,186,2029,39540,425,39540,True,0.64,True,700
CJ1,Flatwing,0,0,41000,0.66,986,100,600,False,2564,10700,ok,,923.6101829058763,169,1864,39540,423,39540,True,0.64,True,700
CJ1,Flatwing,0,0,41000,0.66,1150,100,600,False,2400,10700,ok,,826.082587581012,153,1700,39540,421,39540,True,0.64,True,700
CJ1,Tamarack,0,0,41000,0.66,0,100,600,False,3440,10668,ok,,1672.763655547859,297,2740,42506,424,42506,False,0.64,True,700
CJ1,Tamarack,0,0,41000,0.66,210,100,600,False,3261,10700,ok,,1540.0014162791579,275,2561,42451,423,42451,False,0.64,True,700
CJ1,Tamarack,0,0,41000,0.66,420,100,600,False,3051,10700,ok,,1390.627644676886,250,2351,42451,421,42451,False,0.64,True,700
CJ1,Tamarack,0,0,41000,0.66,631,100,600,False,2840,10700,ok,,1241.95971313266,226,2140,42451,419,42451,False,0.63,True,700
CJ1,Tamarack,0,0,41000,0.66,841,100,600,False,2630,10700,ok,,1095.467983451467,201,1930,42451,417,42451,False,0.63,True,700
CJ1,Tamarack,0,0,41000,0.66,1051,100,600,False,2420,10700,ok,,950.2341860890937,177,1720,42451,414,42451,False,0.63,True,700
CJ1,Tamarack,0,0,41000,0.66,1261,100,600,False,2210,10700,ok,,806.3597037384875,153,1510,42451,412,42451,False,0.62,True,700
CJ1,Tamarack,0,0,41000,0.66,1471,100,600,False,2000,10700,ok,,663.7272365646677,128,1300,42451,410,42451,False,0.62,True,700
