aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ,Flatwing,0,0,10000,0.7,0,234
CJ,Flatwing,0,0,10000,0.69,0,234
CJ,Flatwing,0,0,10000,0.68,0,234
CJ,Flatwing,0,0,10000,0.67,0,234
CJ,Flatwing,0,0,10000,0.66,0,234
CJ,Flatwing,0,0,10000,0.65,0,234
CJ,Flatwing,0,0,10000,0.64,0,234
CJ,Flatwing,0,0,10000,0.63,0,234
CJ,Flatwing,0,0,10000,0.62,0,234
CJ,Flatwing,0,0,8000,0.7,0,233
CJ,Flatwing,0,0,8000,0.69,0,233
CJ,Flatwing,0,0,8000,0.68,0,233
CJ,Flatwing,0,0,8000,0.67,0,233
CJ,Flatwing,0,0,8000,0.66,0,233
CJ,Flatwing,0,0,8000,0.65,0,233
CJ,Flatwing,0,0,8000,0.64,0,233
CJ,Flatwing,0,0,8000,0.63,0,233
CJ,Flatwing,0,0,8000,0.62,0,233
CJ,Flatwing,0,0,6000,0.7,0,233
CJ,Flatwing,0,0,6000,0.69,0,233
CJ,Flatwing,0,0,6000,0.68,0,233
CJ,Flatwing,0,0,6000,0.67,0,233
CJ,Flatwing,0,0,6000,0.66,0,233
CJ,Flatwing,0,0,6000,0.65,0,233
CJ,Flatwing,0,0,6000,0.64,0,233
CJ,Flatwing,0,0,6000,0.63,0,233
CJ,Flatwing,0,0,6000,0.62,0,233
CJ,Flatwing,0,-10,10000,0.7,0,233
CJ,Flatwing,0,-10,10000,0.69,0,233
CJ,Flatwing,0,-10,10000,0.68,0,233
CJ,Flatwing,0,-10,10000,0.67,0,233
CJ,Flatwing,0,-10,10000,0.66,0,233
CJ,Flatwing,0,-10,10000,0.65,0,233
CJ,Flatwing,0,-10,10000,0.64,0,233
CJ,Flatwing,0,-10,10000,0.63,0,233
CJ,Flatwing,0,-10,10000,0.62,0,233
CJ,Flatwing,0,-10,8000,0.7,0,233
CJ,Flatwing,0,-10,8000,0.69,0,233
CJ,Flatwing,0,-10,8000,0.68,0,233
CJ,Flatwing,0,-10,8000,0.67,0,233
CJ,Flatwing,0,-10,8000,0.66,0,233
CJ,Flatwing,0,-10,8000,0.65,0,233
CJ,Flatwing,0,-10,8000,0.64,0,233
CJ,Flatwing,0,-10,8000,0.63,0,233
CJ,Flatwing,0,-10,8000,0.62,0,233
CJ,Flatwing,0,-10,6000,0.7,0,233
CJ,Flatwing,0,-10,6000,0.69,0,233
CJ,Flatwing,0,-10,6000,0.68,0,233
CJ,Flatwing,0,-10,6000,0.67,0,233
CJ,Flatwing,0,-10,6000,0.66,0,233
CJ,Flatwing,0,-10,6000,0.65,0,233
CJ,Flatwing,0,-10,6000,0.64,0,233
CJ,Flatwing,0,-10,6000,0.63,0,233
CJ,Flatwing,0,-10,6000,0.62,0,233
CJ,Tamarack,0,0,10000,0.7,0,238
CJ,Tamarack,0,0,10000,0.69,0,238
CJ,Tamarack,0,0,10000,0.68,0,238
CJ,Tamarack,0,0,10000,0.67,0,238
CJ,Tamarack,0,0,10000,0.66,0,238
CJ,Tamarack,0,0,10000,0.65,0,238
CJ,Tamarack,0,0,10000,0.64,0,238
CJ,Tamarack,0,0,10000,0.63,0,238
CJ,Tamarack,0,0,10000,0.62,0,238
CJ,Tamarack,0,0,8000,0.7,0,238
CJ,Tamarack,0,0,8000,0.69,0,238
CJ,Tamarack,0,0,8000,0.68,0,238
CJ,Tamarack,0,0,8000,0.67,0,238
CJ,Tamarack,0,0,8000,0.66,0,238
CJ,Tamarack,0,0,8000,0.65,0,238
CJ,Tamarack,0,0,8000,0.64,0,238
CJ,Tamarack,0,0,8000,0.63,0,238
CJ,Tamarack,0,0,8000,0.62,0,238
CJ,Tamarack,0,0,6000,0.7,0,237
CJ,Tamarack,0,0,6000,0.69,0,237
CJ,Tamarack,0,0,6000,0.68,0,237
CJ,Tamarack,0,0,6000,0.67,0,237
CJ,Tamarack,0,0,6000,0.66,0,237
CJ,Tamarack,0,0,6000,0.65,0,237
CJ,Tamarack,0,0,6000,0.64,0,237
CJ,Tamarack,0,0,6000,0.63,0,237
CJ,Tamarack,0,0,6000,0.62,0,237
CJ,Tamarack,0,-10,10000,0.7,0,238
CJ,Tamarack,0,-10,10000,0.69,0,238
CJ,Tamarack,0,-10,10000,0.68,0,238
CJ,Tamarack,0,-10,10000,0.67,0,238
CJ,Tamarack,0,-10,10000,0.66,0,238
CJ,Tamarack,0,-10,10000,0.65,0,238
CJ,Tamarack,0,-10,10000,0.64,0,238
CJ,Tamarack,0,-10,10000,0.63,0,238
CJ,Tamarack,0,-10,10000,0.62,0,238
CJ,Tamarack,0,-10,8000,0.7,0,237
CJ,Tamarack,0,-10,8000,0.69,0,237
CJ,Tamarack,0,-10,8000,0.68,0,237
CJ,Tamarack,0,-10,8000,0.67,0,237
CJ,Tamarack,0,-10,8000,0.66,0,237
CJ,Tamarack,0,-10,8000,0.65,0,237
CJ,Tamarack,0,-10,8000,0.64,0,237
CJ,Tamarack,0,-10,8000,0.63,0,237
CJ,Tamarack,0,-10,8000,0.62,0,237
CJ,Tamarack,0,-10,6000,0.7,0,237
CJ,Tamarack,0,-10,6000,0.69,0,237
CJ,Tamarack,0,-10,6000,0.68,0,237
CJ,Tamarack,0,-10,6000,0.67,0,237
CJ,Tamarack,0,-10,6000,0.66,0,237
CJ,Tamarack,0,-10,6000,0.65,0,237
CJ,Tamarack,0,-10,6000,0.64,0,237
CJ,Tamarack,0,-10,6000,0.63,0,237
CJ,Tamarack,0,-10,6000,0.62,0,237
