aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ,Flatwing,0,0,10000,0.7,0,886.8794456386764,234,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,0,870.3131501535761,233,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,211,882.2268550618072,232,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,211,865.7035896751049,232,2740,9998,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,422,877.5620571246271,231,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,422,861.1317728562816,231,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,633,849.8172488131445,224,2667,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,633,833.8563997228948,223,2667,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,844,779.3656252113174,205,2456,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,844,764.8368462311124,205,2456,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,1056,709.1466719353616,187,2244,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,1056,696.0442518398875,187,2244,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,1267,639.3384421563791,169,2033,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,1267,627.6559058940683,169,2033,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,1478,570.2671670883949,151,1822,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,1478,559.7638163762397,151,1822,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,1689,501.2861779552891,133,1611,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,1689,492.1867404885942,133,1611,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.7,1900,432.8102636792031,115,1400,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.7,1900,424.70185917832225,115,1400,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,0,886.8794456386764,234,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,0,870.3131501535761,233,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,211,882.2268550618072,232,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,211,865.7035896751049,232,2740,9998,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,422,877.5620571246271,231,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,422,861.1317728562816,231,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,633,849.8172488131445,224,2667,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,633,833.8563997228948,223,2667,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,844,779.3656252113174,205,2456,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,844,764.8368462311124,205,2456,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,1056,709.1466719353616,187,2244,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,1056,696.0442518398875,187,2244,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,1267,639.3384421563791,169,2033,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,1267,627.6559058940683,169,2033,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,1478,570.2671670883949,151,1822,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,1478,559.7638163762397,151,1822,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,1689,501.2861779552891,133,1611,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,1689,492.1867404885942,133,1611,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.69,1900,432.8102636792031,115,1400,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.69,1900,424.70185917832225,115,1400,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,0,886.8794456386764,234,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,0,870.3131501535761,233,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,211,882.2268550618072,232,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,211,865.7035896751049,232,2740,9998,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,422,877.5620571246271,231,2740,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,422,861.1317728562816,231,2740,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,633,849.8172488131445,224,2667,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,633,833.8563997228948,223,2667,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,844,779.3656252113174,205,2456,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,844,764.8368462311124,205,2456,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,1056,709.1466719353616,187,2244,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,1056,696.0442518398875,187,2244,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,1267,639.3384421563791,169,2033,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,1267,627.6559058940683,169,2033,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,1478,570.2671670883949,151,1822,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,1478,559.7638163762397,151,1822,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,1689,501.2861779552891,133,1611,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,1689,492.1867404885942,133,1611,10000,227.51028922731246,200.0
CJ,Flatwing,0,0,10000,0.68,1900,432.8102636792031,115,1400,10000,231.6217762251934,200.0
CJ,Flatwing,0,-10,10000,0.68,1900,424.70185917832225,115,1400,10000,227.51028922731246,200.0
