aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
CJ,Flatwing,0,0,10000,0.7,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.69,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.68,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.67,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.66,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.65,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.64,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.63,0,886.8794456386764
CJ,Flatwing,0,0,10000,0.62,0,886.8794456386764
CJ,Flatwing,0,0,8000,0.7,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.69,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.68,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.67,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.66,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.65,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.64,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.63,0,861.0291586639314
CJ,Flatwing,0,0,8000,0.62,0,861.0291586639314
CJ,Flatwing,0,0,6000,0.7,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.69,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.68,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.67,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.66,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.65,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.64,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.63,0,835.7841701734959
CJ,Flatwing,0,0,6000,0.62,0,835.7841701734959
CJ,Flatwing,0,-10,10000,0.7,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.69,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.68,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.67,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.66,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.65,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.64,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.63,0,870.3131501535761
CJ,Flatwing,0,-10,10000,0.62,0,870.3131501535761
CJ,Flatwing,0,-10,8000,0.7,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.69,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.68,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.67,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.66,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.65,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.64,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.63,0,845.0985700060726
CJ,Flatwing,0,-10,8000,0.62,0,845.0985700060726
CJ,Flatwing,0,-10,6000,0.7,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.69,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.68,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.67,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.66,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.65,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.64,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.63,0,820.5134386848845
CJ,Flatwing,0,-10,6000,0.62,0,820.5134386848845
CJ,Tamarack,0,0,10000,0.7,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.69,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.68,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.67,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.66,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.65,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.64,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.63,0,904.0758383496322
CJ,Tamarack,0,0,10000,0.62,0,904.0758383496322
CJ,Tamarack,0,0,8000,0.7,0,877.338629661789
CJ,Tamarack,0,0,8000,0.69,0,877.338629661789
CJ,Tamarack,0,0,8000,0.68,0,877.338629661789
CJ,Tamarack,0,0,8000,0.67,0,877.338629661789
CJ,Tamarack,0,0,8000,0.66,0,877.338629661789
CJ,Tamarack,0,0,8000,0.65,0,877.338629661789
CJ,Tamarack,0,0,8000,0.64,0,877.338629661789
CJ,Tamarack,0,0,8000,0.63,0,877.338629661789
CJ,Tamarack,0,0,8000,0.62,0,877.338629661789
CJ,Tamarack,0,0,6000,0.7,0,851.7243448997383
CJ,Tamarack,0,0,6000,0.69,0,851.7243448997383
CJ,Tamarack,0,0,6000,0.68,0,851.7243448997383
CJ,Tamarack,0,0,6000,0.67,0,851.7243448997383
