aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,-10,20000,0.0,170.0,0,100,250,False,2200,6700,ok,,1153.0,387,1850,19993,185.03397791880465,137.0,19993,False,0.2998119800880827,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,0,100,250,False,2200,6700,ok,,1153.0,387,1850,19993,185.03397791880465,137.0,19993,False,0.2998119800880827,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,0,100,250,False,2200,6700,ok,,1153.0,387,1850,19993,185.03397791880465,137.0,19993,False,0.2998119800880827,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,300,100,250,False,2200,7000,ok,,1147.0,387,1850,20000,184.41285664509917,137.0,20000,False,0.2988055725026273,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,300,100,250,False,2200,7000,ok,,1147.0,387,1850,20000,184.41285664509917,137.0,20000,False,0.2988055725026273,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,300,100,250,False,2200,7000,ok,,1147.0,387,1850,20000,184.41285664509917,137.0,20000,False,0.2988055725026273,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,600,100,250,False,2200,7300,ok,,1140.0,387,1850,19997,183.74748212978795,136.0,19997,False,0.2977274610488318,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,600,100,250,False,2200,7300,ok,,1140.0,387,1850,19997,183.74748212978795,136.0,19997,False,0.2977274610488318,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,600,100,250,False,2200,7300,ok,,1140.0,387,1850,19997,183.74748212978795,136.0,19997,False,0.2977274610488318,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,900,100,250,False,2200,7600,ok,,1133.0,387,1850,19995,183.0336925983074,135.0,19995,False,0.29657090237130485,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,900,100,250,False,2200,7600,ok,,1133.0,387,1850,19995,183.0336925983074,135.0,19995,False,0.29657090237130485,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,900,100,250,False,2200,7600,ok,,1133.0,387,1850,19995,183.0336925983074,135.0,19995,False,0.29657090237130485,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,1200,100,250,False,2200,7900,ok,,1126.0,386,1850,19995,182.2714847559074,135.0,19995,False,0.29533589113153735,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,1200,100,250,False,2200,7900,ok,,1126.0,386,1850,19995,182.2714847559074,135.0,19995,False,0.29533589113153735,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,1200,100,250,False,2200,7900,ok,,1126.0,386,1850,19995,182.2714847559074,135.0,19995,False,0.29533589113153735,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,1500,100,250,False,2200,8200,ok,,1116.0,385,1850,19904,181.4403271721097,134.0,19904,False,0.29388722083154706,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,1500,100,250,False,2200,8200,ok,,1116.0,385,1850,19904,181.4403271721097,134.0,19904,False,0.29388722083154706,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,1500,100,250,False,2200,8200,ok,,1116.0,385,1850,19904,181.4403271721097,134.0,19904,False,0.29388722083154706,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,1800,100,250,False,2200,8500,ok,,1108.0,385,1850,19900,180.57752272962128,133.0,19900,False,0.2924840287215425,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,1800,100,250,False,2200,8500,ok,,1108.0,385,1850,19900,180.57752272962128,133.0,19900,False,0.2924840287215425,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,1800,100,250,False,2200,8500,ok,,1108.0,385,1850,19900,180.57752272962128,133.0,19900,False,0.2924840287215425,False,350
C208B,Flatwing,0,-10,20000,0.0,170.0,2100,100,250,False,2150,8750,ok,,1034.0,362,1800,17900,179.43659596345643,137.0,17900,True,0.28837098534877936,False,350
C208B,Flatwing,0,-10,20000,0.0,160.0,2100,100,250,False,2150,8750,ok,,1034.0,362,1800,17900,179.43659596345643,137.0,17900,True,0.28837098534877936,False,350
C208B,Flatwing,0,-10,20000,0.0,150.0,2100,100,250,False,2150,8750,ok,,1034.0,362,1800,17900,179.43659596345643,137.0,17900,True,0.28837098534877936,False,350
