aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,-10,41000,0.62,0,100,600,False,3440,10240,ok,,930.0,169.0,2740.0,39002.0,355.587531948856,184.0,39002.0,True,0.62,False,700.0
CJ1,Flatwing,0,-10,41000,0.62,300,100,600,False,3440,10540,ok,,930.0,170.0,2740.0,39002.0,355.587531948856,184.0,39002.0,True,0.62,False,700.0
CJ1,Flatwing,0,-10,41000,0.62,600,100,600,False,3200,10600,ok,,930.0,170.0,2500.0,39003.0,355.587531948856,184.0,39003.0,True,0.62,False,700.0
CJ1,Flatwing,0,-10,41000,0.62,900,100,600,False,2900,10600,ok,,930.0,170.0,2200.0,39003.0,355.587531948856,184.0,39003.0,True,0.62,False,700.0
CJ1,Flatwing,0,-10,41000,0.62,1200,100,600,False,2600,10600,error,Not Enough Fuel for Flatwing.,,,,,,,,True,,True,
CJ1,Flatwing,0,-10,41000,0.62,1500,100,600,False,2300,10600,error,Not Enough Fuel for Flatwing.,,,,,,,,True,,True,
CJ1,Tamarack,0,-10,41000,0.62,0,100,600,False,3440,10319,ok,,937.0,171.0,2740.0,41002.0,355.587531948856,174.0,41002.0,False,0.62,False,700.0
CJ1,Tamarack,0,-10,41000,0.62,364,100,600,False,3357,10600,ok,,937.0,172.0,2657.0,41004.0,355.587531948856,174.0,41004.0,False,0.62,False,700.0
CJ1,Tamarack,0,-10,41000,0.62,728,100,600,False,2993,10600,ok,,937.0,172.0,2293.0,41004.0,355.587531948856,174.0,41004.0,False,0.62,False,700.0
CJ1,Tamarack,0,-10,41000,0.62,1093,100,600,False,2628,10600,ok,,937.0,172.0,1928.0,41004.0,355.587531948856,174.0,41004.0,False,0.62,False,700.0
CJ1,Tamarack,0,-10,41000,0.62,1457,100,600,False,2264,10600,error,Not Enough Fuel for Tamarack.,,,,,,,,True,,True,
CJ1,Tamarack,0,-10,41000,0.62,1821,100,600,False,1900,10600,error,Not Enough Fuel for Tamarack.,,,,,,,,True,,True,
