aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.66,0,100,600,False,3440,10240,ok,,1250.0,209,2740,37001,378.5286630423306,201.0,37001,True,0.66,False,700
CJ1,Flatwing,0,0,41000,0.66,167,100,600,False,3440,10407,ok,,1241.0,208,2740,37005,378.5286630423306,201.0,37005,True,0.66,False,700
CJ1,Flatwing,0,0,41000,0.66,333,100,600,False,3440,10573,ok,,1234.0,208,2740,37001,378.5286630423306,200.0,37001,True,0.66,False,700
CJ1,Flatwing,0,0,41000,0.66,500,100,600,False,3300,10600,ok,,1157.0,196,2600,37005,378.39879831932103,200.0,37005,True,0.6597735687530306,False,700
CJ1,Flatwing,0,0,41000,0.66,667,100,600,False,3133,10600,ok,,1067.0,182,2433,37005,377.36035629227183,199.0,37005,True,0.6579629483039899,True,700
CJ1,Flatwing,0,0,41000,0.66,833,100,600,False,2967,10600,ok,,978.0,167,2267,37005,376.28360623128737,199.0,37005,True,0.6560855342277664,True,700
CJ1,Flatwing,0,0,41000,0.66,1000,100,600,False,2800,10600,ok,,890.0,153,2100,37005,375.16684358117607,199.0,37005,True,0.654138354473532,True,700
CJ1,Flatwing,0,0,41000,0.66,1167,100,600,False,2633,10600,ok,,801.0,139,1933,37005,374.0082188532172,198.0,37005,True,0.6521181842853438,True,700
CJ1,Flatwing,0,0,41000,0.66,1333,100,600,False,2467,10600,ok,,713.0,125,1767,37005,372.80572136909495,198.0,37005,True,0.6500215178581783,True,700
CJ1,Flatwing,0,0,41000,0.66,1500,100,600,False,2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Tamarack,0,0,41000,0.66,0,100,600,False,3440,10319,ok,,1531.0,257,2740,41004,378.5286630423306,182.0,41004,False,0.66,False,700
CJ1,Tamarack,0,0,41000,0.66,202,100,600,False,3440,10521,ok,,1517.0,256,2740,41001,378.5286630423306,182.0,41001,False,0.66,False,700
CJ1,Tamarack,0,0,41000,0.66,405,100,600,False,3316,10600,ok,,1421.0,241,2616,40900,378.5286630423306,180.0,40900,False,0.66,False,700
CJ1,Tamarack,0,0,41000,0.66,607,100,600,False,3114,10600,ok,,1286.0,219,2414,40900,377.7084253390139,179.0,40900,False,0.6585698391243664,True,700
CJ1,Tamarack,0,0,41000,0.66,809,100,600,False,2912,10600,ok,,1152.0,198,2212,40900,376.2363137950225,179.0,40900,False,0.6560030754578441,True,700
CJ1,Tamarack,0,0,41000,0.66,1012,100,600,False,2709,10600,ok,,1016.0,176,2009,40900,374.66707789953574,178.0,40900,False,0.6532669664332404,True,700
CJ1,Tamarack,0,0,41000,0.66,1214,100,600,False,2507,10600,ok,,883.0,155,1807,40900,373.0439248841356,178.0,40900,False,0.6504368478854033,True,700
CJ1,Tamarack,0,0,41000,0.66,1416,100,600,False,2305,10600,ok,,750.0,134,1605,40900,371.32395959292893,177.0,40900,False,0.6474379281125314,True,700
CJ1,Tamarack,0,0,41000,0.66,1619,100,600,False,2102,10600,ok,,617.0,112,1402,40900,369.51299085814856,177.0,40900,False,0.6442803353549617,True,700
CJ1,Tamarack,0,0,41000,0.66,1821,100,600,False,1900,10600,ok,,485.0,91,1200,40900,367.6035538157646,176.0,40900,False,0.6409510539265894,True,700
