aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Flatwing,0,0,41000,0.0,0,1216.2649069750055,234,2740,37001,328.45712851453425,158.27312613922967
CJ1,Flatwing,0,20,41000,0.0,0,1237.1429476359679,237,2740,35002,329.3504617601875,158.9214962734422
CJ1,Flatwing,0,0,41000,0.0,300,1176.6717752529084,226,2740,37000,328.45321157558095,161.88046300439217
CJ1,Flatwing,0,20,41000,0.0,300,1205.6475228588583,231,2740,35001,329.7239255637317,159.3312801948507
CJ1,Flatwing,0,0,41000,0.0,600,1031.7118248142879,199,2500,37005,328.45137049707387,162.41770920439106
CJ1,Flatwing,0,20,41000,0.0,600,1065.995298247356,205,2500,35003,329.7276680364434,159.73835645732487
CJ1,Flatwing,0,0,41000,0.0,900,872.1258669887364,169,2200,37005,328.43055078557535,162.76945784277513
CJ1,Flatwing,0,20,41000,0.0,900,900.4731913054363,174,2200,35003,329.7276680364434,162.85867825428286
CJ1,Flatwing,0,0,41000,0.0,1200,724.2273832992698,141,1900,37005,328.43055078557535,166.30598117249582
CJ1,Flatwing,0,20,41000,0.0,1200,753.9272511049458,146,1900,35003,329.7276680364434,163.5952890044666
CJ1,Flatwing,0,0,41000,0.0,1500,572.5679484268234,112,1600,37005,328.43055078557535,166.79225849465305
CJ1,Flatwing,0,20,41000,0.0,1500,606.9145590145424,118,1600,35003,329.7276680364434,163.99391099737267
CJ1,Flatwing,0,0,39000,0.0,0,1145.7655525724736,224,2740,37001,328.44238527768886,158.2951391082304
CJ1,Flatwing,0,20,39000,0.0,0,1237.1429476359679,237,2740,35002,329.3504617601875,158.92427858226367
CJ1,Flatwing,0,0,39000,0.0,300,1134.3048960077758,220,2740,37000,328.4374233886509,161.84229670346434
CJ1,Flatwing,0,20,39000,0.0,300,1205.6475228588583,231,2740,35001,329.7239255637317,159.3340426770228
CJ1,Flatwing,0,0,39000,0.0,600,1017.3113390952115,197,2500,37005,328.42621314578776,162.34463261290392
CJ1,Flatwing,0,20,39000,0.0,600,1065.995298247356,205,2500,35003,329.7276680364434,159.7410980914994
CJ1,Flatwing,0,0,39000,0.0,900,872.1258669887364,169,2200,37005,328.42621314578776,162.76908449982585
CJ1,Flatwing,0,20,39000,0.0,900,900.4731913054363,174,2200,35003,329.7276680364434,162.85867825428286
CJ1,Flatwing,0,0,39000,0.0,1200,724.2273832992698,141,1900,37005,328.42621314578776,166.30888790600193
CJ1,Flatwing,0,20,39000,0.0,1200,753.9272511049458,146,1900,35003,329.7276680364434,163.5952890044666
CJ1,Flatwing,0,0,39000,0.0,1500,572.5679484268234,112,1600,37005,328.42621314578776,166.79514059438998
CJ1,Flatwing,0,20,39000,0.0,1500,606.9145590145424,118,1600,35003,329.7276680364434,163.99391099737267
CJ1,Flatwing,0,0,37000,0.0,0,1023.4421519483977,208,2740,37001,315.43714219640424,157.9047549046606
CJ1,Flatwing,0,20,37000,0.0,0,1163.5321556299136,227,2740,35002,329.3504617601875,158.97155743741052
CJ1,Flatwing,0,0,37000,0.0,300,1034.0014210736986,207,2740,37000,321.83335595741283,161.87121839542118
CJ1,Flatwing,0,20,37000,0.0,300,1157.4452986221972,225,2740,35001,329.7239255637317,159.3229916396545
CJ1,Flatwing,0,0,37000,0.0,600,937.767681053593,186,2500,37005,322.09927736170084,162.42550997829426
CJ1,Flatwing,0,20,37000,0.0,600,1043.0616255428167,202,2500,35003,329.7276680364434,159.70270384237833
CJ1,Flatwing,0,0,37000,0.0,900,813.7840013039018,161,2200,37005,322.09927736170084,162.8937474129782
CJ1,Flatwing,0,20,37000,0.0,900,900.449137282335,174,2200,35003,329.7276680364434,162.8382189867064
CJ1,Flatwing,0,0,37000,0.0,1200,687.5027423788815,136,1900,37005,322.09927736170084,166.2739963960749
CJ1,Flatwing,0,20,37000,0.0,1200,753.9272511049458,146,1900,35003,329.7276680364434,163.59783738915516
CJ1,Flatwing,0,0,37000,0.0,1500,558.7500279817641,110,1600,37005,322.09927736170084,166.70861239852601
CJ1,Flatwing,0,20,37000,0.0,1500,606.9145590145424,118,1600,35003,329.7276680364434,163.99391099737267
CJ1,Flatwing,0,0,35000,0.0,0,904.748466192846,193,2740,35004,299.1835712739554,154.90318324329712
CJ1,Flatwing,0,20,35000,0.0,0,1004.0236319066577,213,2740,35002,299.04031011454583,146.2594215833177
CJ1,Flatwing,0,0,35000,0.0,300,914.6839307505821,192,2740,35001,306.0543353355972,159.26415689503355
CJ1,Flatwing,0,20,35000,0.0,300,1013.9889983773883,213,2740,35001,305.8984570651447,150.36605727782094
CJ1,Flatwing,0,0,35000,0.0,600,832.5074940359837,174,2500,35005,306.332349608737,159.86423950230838
CJ1,Flatwing,0,20,35000,0.0,600,922.707960096006,192,2500,35003,306.1717847820091,150.93599299920015
CJ1,Flatwing,0,0,35000,0.0,900,725.1359670747855,151,2200,35005,306.332349608737,160.37926386019515
CJ1,Flatwing,0,20,35000,0.0,900,802.979669466943,166,2200,35003,306.1717847820091,151.42397964428937
CJ1,Flatwing,0,0,35000,0.0,1200,616.4467342716042,127,1900,35005,306.332349608737,164.10065664668636
CJ1,Flatwing,0,20,35000,0.0,1200,681.7789232642092,140,1900,35003,306.1717847820091,151.90809540795038
CJ1,Flatwing,0,0,35000,0.0,1500,504.4057770939882,104,1600,35005,306.332349608737,164.58489671854107
CJ1,Flatwing,0,20,35000,0.0,1500,556.9336993238144,114,1600,35003,306.1717847820091,155.40147359603196
CJ1,Flatwing,0,0,33000,0.0,0,811.2771827762405,178,2740,33004,291.86120328710615,156.98979908446006
CJ1,Flatwing,0,20,33000,0.0,0,921.7379062882839,196,2740,33001,299.35629736159285,154.33862056625364
CJ1,Flatwing,0,0,33000,0.0,300,821.31605530224,178,2740,33005,293.4046647710326,161.6769599971483
CJ1,Flatwing,0,20,33000,0.0,300,932.1808787692419,196,2740,33000,306.21865432382765,158.66923457298861
CJ1,Flatwing,0,0,33000,0.0,600,749.0953433954654,161,2500,33003,293.7073472924925,162.33243489885731
CJ1,Flatwing,0,20,33000,0.0,600,850.1127630730335,177,2500,33007,306.49620327809055,159.25346637020218
CJ1,Flatwing,0,0,33000,0.0,900,654.0947416000299,140,2200,33003,293.7073472924925,162.87941121506088
CJ1,Flatwing,0,20,33000,0.0,900,741.9674492510445,153,2200,33007,306.49620327809055,159.76578162755683
CJ1,Flatwing,0,0,33000,0.0,1200,557.699923688849,118,1900,33003,293.7073472924925,163.42200462596452
CJ1,Flatwing,0,20,33000,0.0,1200,631.7144954160885,130,1900,33007,306.49620327809055,163.47185761449873
CJ1,Flatwing,0,0,33000,0.0,1500,459.48900631580534,97,1600,33003,293.7073472924925,167.42565995363103
CJ1,Flatwing,0,20,33000,0.0,1500,518.8682055090829,106,1600,33007,306.49620327809055,163.9535253896319
CJ1,Flatwing,0,0,31000,0.0,0,722.3790551318862,165,2740,31004,291.5094360768158,157.7652171365205
CJ1,Flatwing,0,20,31000,0.0,0,828.1617189535572,181,2740,31003,292.2573069989402,156.7058591346722
CJ1,Flatwing,0,0,31000,0.0,300,731.7340534157953,164,2740,31000,291.51516423550464,158.95264811794482
CJ1,Flatwing,0,20,31000,0.0,300,838.166900088228,180,2740,31004,293.80878023226484,161.364493560583
CJ1,Flatwing,0,0,31000,0.0,600,669.1631350833034,149,2500,31002,291.5113868942746,159.65419751695967
CJ1,Flatwing,0,20,31000,0.0,600,766.3229458788941,163,2500,31007,299.69680379614476,162.0065921529852
CJ1,Flatwing,0,0,31000,0.0,900,586.5596951366153,130,2200,31002,291.5113868942746,164.08821272435418
CJ1,Flatwing,0,20,31000,0.0,900,669.9815326029756,142,2200,31007,299.69680379614476,162.5536930387272
CJ1,Flatwing,0,0,31000,0.0,1200,501.5591434542029,110,1900,31002,291.5113868942746,164.65187367673698
CJ1,Flatwing,0,20,31000,0.0,1200,572.736216761415,121,1900,31007,299.69680379614476,163.09641800207459
CJ1,Flatwing,0,0,31000,0.0,1500,415.9224975516962,91,1600,31002,291.5113868942746,165.21106452693434
CJ1,Flatwing,0,20,31000,0.0,1500,473.1431820994932,99,1600,31007,299.69680379614476,167.06959516124
CJ1,Tamarack,0,0,41000,0.0,0,1283.260817488821,256,2740,41004,322.4489527395158,145.50554892878642
CJ1,Tamarack,0,20,41000,0.0,0,1376.233002413906,270,2740,39000,321.4643819855582,145.94650825620948
CJ1,Tamarack,0,0,41000,0.0,364,1246.969458129583,246,2657,40900,328.13292959412536,148.9706296282481
CJ1,Tamarack,0,20,41000,0.0,364,1305.27518069201,255,2657,39005,327.48556626308294,147.4697556956218
