aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
CJ1,Flatwing,0,-10,0.66,41000,0,n/p
CJ1,Flatwing,0,-10,0.65,41000,0,n/p
CJ1,Flatwing,0,-10,0.64,41000,0,n/p
CJ1,Flatwing,0,-10,0.63,41000,0,n/p
CJ1,Flatwing,0,-10,0.62,41000,0,n/p
CJ1,Flatwing,0,-10,0.66,39000,0,1286.441723505481
CJ1,Flatwing,0,-10,0.65,39000,0,1289.2947603728953
CJ1,Flatwing,0,-10,0.64,39000,0,1296.8652972768793
CJ1,Flatwing,0,-10,0.63,39000,0,1305.5094780474717
CJ1,Flatwing,0,-10,0.62,39000,0,1314.1621097631453
CJ1,Flatwing,0,-10,0.66,37000,0,1199.968925661166
CJ1,Flatwing,0,-10,0.65,37000,0,1207.2580815190765
CJ1,Flatwing,0,-10,0.64,37000,0,1217.1260793650608
CJ1,Flatwing,0,-10,0.63,37000,0,1227.857245766419
CJ1,Flatwing,0,-10,0.62,37000,0,1237.5957957375088
CJ1,Flatwing,0,0,0.66,41000,0,n/p
CJ1,Flatwing,0,0,0.65,41000,0,n/p
CJ1,Flatwing,0,0,0.64,41000,0,n/p
CJ1,Flatwing,0,0,0.63,41000,0,n/p
CJ1,Flatwing,0,0,0.62,41000,0,n/p
CJ1,Flatwing,0,0,0.66,39000,0,n/p
CJ1,Flatwing,0,0,0.65,39000,0,n/p
CJ1,Flatwing,0,0,0.64,39000,0,n/p
CJ1,Flatwing,0,0,0.63,39000,0,n/p
CJ1,Flatwing,0,0,0.62,39000,0,n/p
CJ1,Flatwing,0,0,0.66,37000,0,1250.2171040114415
CJ1,Flatwing,0,0,0.65,37000,0,1255.6522572729448
CJ1,Flatwing,0,0,0.64,37000,0,1264.09115862975
CJ1,Flatwing,0,0,0.63,37000,0,1274.9323796222193
CJ1,Flatwing,0,0,0.62,37000,0,1284.6803069237137
CJ1,Flatwing,0,10,0.66,41000,0,n/p
CJ1,Flatwing,0,10,0.65,41000,0,n/p
CJ1,Flatwing,0,10,0.64,41000,0,n/p
CJ1,Flatwing,0,10,0.63,41000,0,n/p
CJ1,Flatwing,0,10,0.62,41000,0,n/p
CJ1,Flatwing,0,10,0.66,39000,0,n/p
CJ1,Flatwing,0,10,0.65,39000,0,n/p
CJ1,Flatwing,0,10,0.64,39000,0,n/p
CJ1,Flatwing,0,10,0.63,39000,0,n/p
CJ1,Flatwing,0,10,0.62,39000,0,n/p
CJ1,Flatwing,0,10,0.66,37000,0,1297.4615916968714
CJ1,Flatwing,0,10,0.65,37000,0,1301.1616268979717
CJ1,Flatwing,0,10,0.64,37000,0,1308.5031421372412
CJ1,Flatwing,0,10,0.63,37000,0,1317.1487795352753
CJ1,Flatwing,0,10,0.62,37000,0,1327.0712280587863
CJ1,Flatwing,0,20,0.66,41000,0,n/p
CJ1,Flatwing,0,20,0.65,41000,0,n/p
CJ1,Flatwing,0,20,0.64,41000,0,n/p
CJ1,Flatwing,0,20,0.63,41000,0,n/p
CJ1,Flatwing,0,20,0.62,41000,0,n/p
CJ1,Flatwing,0,20,0.66,39000,0,n/p
CJ1,Flatwing,0,20,0.65,39000,0,n/p
CJ1,Flatwing,0,20,0.64,39000,0,n/p
CJ1,Flatwing,0,20,0.63,39000,0,n/p
CJ1,Flatwing,0,20,0.62,39000,0,n/p
CJ1,Flatwing,0,20,0.66,37000,0,n/p
CJ1,Flatwing,0,20,0.65,37000,0,n/p
CJ1,Flatwing,0,20,0.64,37000,0,n/p
CJ1,Flatwing,0,20,0.63,37000,0,n/p
CJ1,Flatwing,0,20,0.62,37000,0,n/p
CJ1,Tamarack,0,-10,0.66,41000,0,1466.9307030677242
CJ1,Tamarack,0,-10,0.65,41000,0,1477.6343075653733
CJ1,Tamarack,0,-10,0.64,41000,0,1489.4675475967126
CJ1,Tamarack,0,-10,0.63,41000,0,1502.6963219434538
CJ1,Tamarack,0,-10,0.62,41000,0,1513.71365284225
CJ1,Tamarack,0,-10,0.66,39000,0,1357.6096333797161
CJ1,Tamarack,0,-10,0.65,39000,0,1371.633566402574
CJ1,Tamarack,0,-10,0.64,39000,0,1384.9935190912245
CJ1,Tamarack,0,-10,0.63,39000,0,1399.2618867189153
CJ1,Tamarack,0,-10,0.62,39000,0,1412.3972136823074
CJ1,Tamarack,0,-10,0.66,37000,0,1261.7939037717574
CJ1,Tamarack,0,-10,0.65,37000,0,1276.8163961259238
CJ1,Tamarack,0,-10,0.64,37000,0,1290.7532722372625
CJ1,Tamarack,0,-10,0.63,37000,0,1304.1412081115184
CJ1,Tamarack,0,-10,0.62,37000,0,1318.4534922657517
CJ1,Tamarack,0,0,0.66,41000,0,1530.6841962271492
CJ1,Tamarack,0,0,0.65,41000,0,1535.9580978524873
CJ1,Tamarack,0,0,0.64,41000,0,1546.5215161681526
CJ1,Tamarack,0,0,0.63,41000,0,1557.207970350066
CJ1,Tamarack,0,0,0.62,41000,0,1569.2373449800937
CJ1,Tamarack,0,0,0.66,39000,0,1414.2528987308006
CJ1,Tamarack,0,0,0.65,39000,0,1427.583191899371
CJ1,Tamarack,0,0,0.64,39000,0,1440.8486921071847
CJ1,Tamarack,0,0,0.63,39000,0,1454.4630931968838
CJ1,Tamarack,0,0,0.62,39000,0,1467.913022833599
CJ1,Tamarack,0,0,0.66,37000,0,1316.2982063249874
CJ1,Tamarack,0,0,0.65,37000,0,1331.1946572374175
CJ1,Tamarack,0,0,0.64,37000,0,1344.9664911638258
CJ1,Tamarack,0,0,0.63,37000,0,1359.1665005632
CJ1,Tamarack,0,0,0.62,37000,0,1373.2491688333002
CJ1,Tamarack,0,10,0.66,41000,0,n/p
CJ1,Tamarack,0,10,0.65,41000,0,n/p
CJ1,Tamarack,0,10,0.64,41000,0,n/p
CJ1,Tamarack,0,10,0.63,41000,0,n/p
CJ1,Tamarack,0,10,0.62,41000,0,n/p
CJ1,Tamarack,0,10,0.66,39000,0,1468.6627961007391
CJ1,Tamarack,0,10,0.65,39000,0,1479.7172518839284
CJ1,Tamarack,0,10,0.64,39000,0,1493.6196458542197
CJ1,Tamarack,0,10,0.63,39000,0,1506.1892426320724
CJ1,Tamarack,0,10,0.62,39000,0,1518.5708116877133
CJ1,Tamarack,0,10,0.66,37000,0,1368.2652732691574
CJ1,Tamarack,0,10,0.65,37000,0,1382.6119121211823
CJ1,Tamarack,0,10,0.64,37000,0,1396.2933233558751
CJ1,Tamarack,0,10,0.63,37000,0,1410.3695552145466
CJ1,Tamarack,0,10,0.62,37000,0,1424.3025426966192
CJ1,Tamarack,0,20,0.66,41000,0,n/p
CJ1,Tamarack,0,20,0.65,41000,0,n/p
CJ1,Tamarack,0,20,0.64,41000,0,n/p
CJ1,Tamarack,0,20,0.63,41000,0,n/p
CJ1,Tamarack,0,20,0.62,41000,0,n/p
CJ1,Tamarack,0,20,0.66,39000,0,1524.0282162678523
CJ1,Tamarack,0,20,0.65,39000,0,1532.2740103447577
