aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,-10,41000,0.66,0,217
CJ1,Flatwing,0,-10,41000,0.65,0,218
CJ1,Flatwing,0,-10,41000,0.64,0,221
CJ1,Flatwing,0,-10,41000,0.63,0,225
CJ1,Flatwing,0,-10,41000,0.62,0,230
CJ1,Flatwing,0,-10,39000,0.66,0,217
CJ1,Flatwing,0,-10,39000,0.65,0,218
CJ1,Flatwing,0,-10,39000,0.64,0,221
CJ1,Flatwing,0,-10,39000,0.63,0,225
CJ1,Flatwing,0,-10,39000,0.62,0,230
CJ1,Flatwing,0,-10,37000,0.66,0,200
CJ1,Flatwing,0,-10,37000,0.65,0,203
CJ1,Flatwing,0,-10,37000,0.64,0,207
CJ1,Flatwing,0,-10,37000,0.63,0,212
CJ1,Flatwing,0,-10,37000,0.62,0,216
CJ1,Flatwing,0,-10,35000,0.66,0,187
CJ1,Flatwing,0,-10,35000,0.65,0,190
CJ1,Flatwing,0,-10,35000,0.64,0,194
CJ1,Flatwing,0,-10,35000,0.63,0,199
CJ1,Flatwing,0,-10,35000,0.62,0,203
CJ1,Flatwing,0,0,41000,0.66,0,209
CJ1,Flatwing,0,0,41000,0.65,0,211
CJ1,Flatwing,0,0,41000,0.64,0,215
CJ1,Flatwing,0,0,41000,0.63,0,219
CJ1,Flatwing,0,0,41000,0.62,0,224
CJ1,Flatwing,0,0,39000,0.66,0,209
CJ1,Flatwing,0,0,39000,0.65,0,211
CJ1,Flatwing,0,0,39000,0.64,0,215
CJ1,Flatwing,0,0,39000,0.63,0,219
CJ1,Flatwing,0,0,39000,0.62,0,224
CJ1,Flatwing,0,0,37000,0.66,0,209
CJ1,Flatwing,0,0,37000,0.65,0,211
CJ1,Flatwing,0,0,37000,0.64,0,215
CJ1,Flatwing,0,0,37000,0.63,0,219
CJ1,Flatwing,0,0,37000,0.62,0,224
CJ1,Flatwing,0,0,35000,0.66,0,196
CJ1,Flatwing,0,0,35000,0.65,0,199
CJ1,Flatwing,0,0,35000,0.64,0,203
CJ1,Flatwing,0,0,35000,0.63,0,207
CJ1,Flatwing,0,0,35000,0.62,0,212
