aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,-10,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1286.0,217,2740,39002,378.5286630423306,194.0,39002,True,0.66,False,700
CJ1,Flatwing,0,-10,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1269.0,216,2740,39002,377.19338348042504,193.0,39002,True,0.6576718156459419,True,700
CJ1,Flatwing,0,-10,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1131.0,194,2500,39003,375.0716854115282,192.0,39003,True,0.6539724373367349,True,700
CJ1,Flatwing,0,-10,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,963.0,167,2200,39003,372.7850562083511,191.0,39003,True,0.649985486224586,True,700
CJ1,Flatwing,0,-10,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,796.0,140,1900,39003,370.327427777023,191.0,39003,True,0.6457003820223313,True,700
CJ1,Flatwing,0,-10,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,630.0,113,1600,39003,367.68081938533317,190.0,39003,True,0.6410857736476943,True,700
CJ1,Flatwing,0,-10,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1290.0,218,2740,39002,372.793380268962,194.0,39002,True,0.65,False,700
CJ1,Flatwing,0,-10,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1271.0,217,2740,39002,372.793380268962,193.0,39002,True,0.65,False,700
CJ1,Flatwing,0,-10,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1131.0,194,2500,39003,372.793380268962,192.0,39003,True,0.65,False,700
CJ1,Flatwing,0,-10,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,963.0,167,2200,39003,372.7850562083511,191.0,39003,True,0.649985486224586,False,700
CJ1,Flatwing,0,-10,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,796.0,140,1900,39003,370.327427777023,191.0,39003,True,0.6457003820223313,True,700
CJ1,Flatwing,0,-10,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,630.0,113,1600,39003,367.68081938533317,190.0,39003,True,0.6410857736476943,True,700
CJ1,Flatwing,0,-10,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1296.0,221,2740,39002,367.0580974955933,191.0,39002,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1276.0,219,2740,39002,367.0580974955933,191.0,39002,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1134.0,196,2500,39003,367.0580974955933,191.0,39003,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,964.0,168,2200,39003,367.0580974955933,191.0,39003,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,796.0,140,1900,39003,367.0580974955933,191.0,39003,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,630.0,113,1600,39003,367.0580974955933,190.0,39003,True,0.64,False,700
CJ1,Flatwing,0,-10,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1306.0,225,2740,39002,361.3228147222247,188.0,39002,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1283.0,222,2740,39002,361.3228147222247,188.0,39002,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1140.0,199,2500,39003,361.3228147222247,188.0,39003,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,969.0,170,2200,39003,361.3228147222247,188.0,39003,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,799.0,142,1900,39003,361.3228147222247,188.0,39003,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,631.0,114,1600,39003,361.3228147222247,188.0,39003,True,0.63,False,700
CJ1,Flatwing,0,-10,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1314.0,230,2740,39002,355.587531948856,184.0,39002,True,0.62,False,700
CJ1,Flatwing,0,-10,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1292.0,226,2740,39002,355.587531948856,184.0,39002,True,0.62,False,700
CJ1,Flatwing,0,-10,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1147.0,202,2500,39003,355.587531948856,184.0,39003,True,0.62,False,700
CJ1,Flatwing,0,-10,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,973.0,173,2200,39003,355.587531948856,184.0,39003,True,0.62,False,700
