aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Flatwing,0,0,41000,0.0,0,n/p,n/p,n/p,n/p,n/p,201.31165389014285
CJ1,Flatwing,0,20,41000,0.0,0,n/p,n/p,n/p,n/p,n/p,197.78919434238156
CJ1,Flatwing,0,0,41000,0.0,300,n/p,n/p,n/p,n/p,n/p,200.2146131906869
CJ1,Flatwing,0,20,41000,0.0,300,n/p,n/p,n/p,n/p,n/p,196.65492423459804
CJ1,Flatwing,0,0,41000,0.0,600,n/p,n/p,n/p,n/p,n/p,199.45274805995894
CJ1,Flatwing,0,20,41000,0.0,600,n/p,n/p,n/p,n/p,n/p,195.86721200727175
CJ1,Flatwing,0,0,41000,0.0,900,n/p,n/p,n/p,n/p,n/p,198.795681079603
CJ1,Flatwing,0,20,41000,0.0,900,n/p,n/p,n/p,n/p,n/p,195.16889910975516
CJ1,Flatwing,0,0,41000,0.0,1200,n/p,n/p,n/p,n/p,n/p,198.11608078688917
CJ1,Flatwing,0,20,41000,0.0,1200,n/p,n/p,n/p,n/p,n/p,194.44545270304314
CJ1,Flatwing,0,0,41000,0.0,1500,n/p,n/p,n/p,n/p,n/p,197.4128687555484
CJ1,Flatwing,0,20,41000,0.0,1500,n/p,n/p,n/p,n/p,n/p,193.69556773196607
CJ1,Flatwing,0,0,39000,0.0,0,n/p,n/p,n/p,n/p,n/p,201.31165389014285
CJ1,Flatwing,0,20,39000,0.0,0,n/p,n/p,n/p,n/p,n/p,197.78919434238156
CJ1,Flatwing,0,0,39000,0.0,300,n/p,n/p,n/p,n/p,n/p,200.2146131906869
CJ1,Flatwing,0,20,39000,0.0,300,n/p,n/p,n/p,n/p,n/p,196.65492423459804
CJ1,Flatwing,0,0,39000,0.0,600,n/p,n/p,n/p,n/p,n/p,199.45274805995894
CJ1,Flatwing,0,20,39000,0.0,600,n/p,n/p,n/p,n/p,n/p,195.86721200727175
CJ1,Flatwing,0,0,39000,0.0,900,n/p,n/p,n/p,n/p,n/p,198.795681079603
CJ1,Flatwing,0,20,39000,0.0,900,n/p,n/p,n/p,n/p,n/p,195.16889910975516
CJ1,Flatwing,0,0,39000,0.0,1200,n/p,n/p,n/p,n/p,n/p,198.11608078688917
CJ1,Flatwing,0,20,39000,0.0,1200,n/p,n/p,n/p,n/p,n/p,194.44545270304314
CJ1,Flatwing,0,0,39000,0.0,1500,n/p,n/p,n/p,n/p,n/p,197.4128687555484
CJ1,Flatwing,0,20,39000,0.0,1500,n/p,n/p,n/p,n/p,n/p,193.69556773196607
CJ1,Flatwing,0,0,37000,0.0,0,1249.0714595383718,209,2740,37001,381.30700867495403,203.86915282594117
CJ1,Flatwing,0,20,37000,0.0,0,n/p,n/p,n/p,n/p,n/p,197.78919434238156
CJ1,Flatwing,0,0,37000,0.0,300,1234.93408877363,208,2740,37000,379.6076062972725,203.36421186428547
CJ1,Flatwing,0,20,37000,0.0,300,n/p,n/p,n/p,n/p,n/p,196.65492423459804
CJ1,Flatwing,0,0,37000,0.0,600,1103.5935261017978,187,2500,37005,377.7802298923891,199.00850789879507
CJ1,Flatwing,0,20,37000,0.0,600,n/p,n/p,n/p,n/p,n/p,195.86721200727175
CJ1,Flatwing,0,0,37000,0.0,900,943.4457011692563,162,2200,37005,375.84179113148525,198.3362358579934
CJ1,Flatwing,0,20,37000,0.0,900,n/p,n/p,n/p,n/p,n/p,195.16889910975516
