# Flight Simulation Results - CJ1 Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 188 lb
# Cruise Altitude: 37000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 12:05:28
# Original Data Points: 1380
# Sampled Data Points (5-sec intervals): 1380
# Time Range: 0 - 10210 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%)
0,2131,0.0,1,1,0,3863,156,10428,3340,0,0.001,0.0
5,2131,0.0,33,34,0,3727,182,10424,3336,2676,0.05,0.0
10,2131,0.1,65,66,0,3596,254,10421,3333,2635,0.097,0.0
15,2131,0.2,93,95,0,3479,361,10417,3329,2544,0.139,0.0
20,2253,0.3,97,99,1469,3453,861,10414,3326,2491,0.146,25.7
25,2375,0.5,98,99,1467,3444,861,10410,3322,2483,0.147,25.6
30,2497,0.6,98,99,1465,3434,861,10407,3319,2476,0.147,25.5
35,2620,0.7,98,99,1464,3425,860,10403,3315,2469,0.148,25.4
40,2741,0.9,98,99,1462,3415,860,10400,3312,2462,0.148,25.3
45,2863,1.0,98,99,1460,3406,859,10396,3308,2455,0.148,25.3
50,2985,1.2,99,99,1459,3396,859,10393,3305,2448,0.149,25.2
55,3106,1.3,99,99,1457,3387,859,10390,3302,2442,0.149,25.1
60,3228,1.4,99,99,1455,3377,858,10386,3298,2435,0.15,25.0
65,3349,1.6,99,99,1454,3368,858,10383,3295,2428,0.15,24.9
70,3490,1.7,109,108,1599,3324,799,10379,3291,2651,0.164,25.1
75,3624,1.9,109,108,1597,3313,799,10376,3288,2389,0.165,25.0
80,3768,2.0,127,126,1854,3252,758,10373,3285,2366,0.193,24.8
85,3934,2.2,150,148,2085,3159,773,10369,3281,2301,0.227,23.6
90,4115,2.5,171,169,2216,3072,847,10366,3278,2236,0.259,22.0
95,4303,2.7,190,187,2262,2993,952,10363,3275,2177,0.289,20.1
100,4490,3.0,204,200,2208,2926,1066,10360,3272,2125,0.31,18.2
105,4674,3.3,205,200,2201,2913,1066,10357,3269,2101,0.311,18.1
110,4857,3.6,205,200,2193,2900,1065,10354,3266,2092,0.312,18.0
