# Flight Simulation Results - C208B Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 15:58:45
# Original Data Points: 1467
# Sampled Data Points (5-sec intervals): 1467
# Time Range: 0 - 12315 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,2866,213,7100,2150,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,35,36,0,2760,250,7099,2149,826,0.052,0.0,0,Takeoff Roll
10,2141,0.1,68,69,1186,2665,626,7098,2148,876,0.102,30.0,1,VR to 35 ft
15,2241,0.2,68,70,1204,2649,595,7097,2147,796,0.103,30.2,1,VR to 35 ft
20,2341,0.3,68,70,1203,2643,595,7095,2145,794,0.103,30.2,1,VR to 35 ft
25,2442,0.4,69,70,1201,2637,595,7094,2144,792,0.103,30.1,1,VR to 35 ft
30,2542,0.5,69,70,1200,2631,595,7093,2143,790,0.103,30.0,1,VR to 35 ft
35,2642,0.6,69,70,1199,2625,594,7092,2142,788,0.104,29.9,1,VR to 35 ft
40,2742,0.7,69,70,1198,2619,594,7091,2141,787,0.104,29.8,1,VR to 35 ft
45,2841,0.8,69,70,1197,2614,594,7090,2140,785,0.104,29.7,1,VR to 35 ft
50,2941,0.9,69,70,1195,2608,594,7089,2139,783,0.104,29.6,1,VR to 35 ft
55,3041,1.0,69,70,1194,2602,594,7088,2138,781,0.105,29.5,1,VR to 35 ft
60,3140,1.1,69,70,1193,2596,594,7087,2137,779,0.105,29.4,1,VR to 35 ft
65,3239,1.2,70,70,1192,2590,594,7086,2136,778,0.105,29.4,1,VR to 35 ft
70,3339,1.3,70,70,1190,2584,594,7085,2135,776,0.105,29.3,1,VR to 35 ft
75,3443,1.4,76,76,1314,2560,550,7083,2133,772,0.115,29.6,3,400 ft to 1500 ft
80,3553,1.5,76,76,1313,2553,550,7082,2132,767,0.115,29.5,3,400 ft to 1500 ft
85,3664,1.6,82,81,1403,2547,550,7081,2131,765,0.124,29.4,4,Climb (IAS)
90,3802,1.7,108,108,1806,2464,524,7080,2130,749,0.164,28.5,4,Climb (IAS)
95,3953,1.9,111,110,1801,2435,545,7079,2129,732,0.168,27.7,4,Climb (IAS)
100,4102,2.0,111,110,1798,2426,545,7078,2128,729,0.169,27.6,4,Climb (IAS)
105,4252,2.2,112,110,1794,2417,545,7077,2127,726,0.17,27.4,4,Climb (IAS)
110,4401,2.3,112,110,1791,2409,545,7076,2126,724,0.17,27.3,4,Climb (IAS)
115,4550,2.5,112,110,1788,2400,545,7075,2125,721,0.171,27.2,4,Climb (IAS)
120,4699,2.6,113,110,1784,2391,545,7074,2124,718,0.171,27.0,4,Climb (IAS)
125,4848,2.8,113,110,1781,2383,545,7073,2123,716,0.172,26.9,4,Climb (IAS)
130,4996,2.9,113,110,1777,2374,545,7072,2122,713,0.172,26.8,4,Climb (IAS)
135,5144,3.1,114,110,1774,2366,545,7071,2121,711,0.173,26.6,4,Climb (IAS)
140,5292,3.3,114,110,1771,2357,545,7070,2120,708,0.174,26.5,4,Climb (IAS)
145,5439,3.4,114,110,1767,2349,545,7069,2119,706,0.174,26.4,4,Climb (IAS)
150,5586,3.6,114,110,1764,2340,545,7068,2118,703,0.175,26.3,4,Climb (IAS)
155,5733,3.7,115,110,1760,2332,545,7067,2117,701,0.175,26.1,4,Climb (IAS)
160,5879,3.9,115,110,1757,2323,545,7066,2116,698,0.176,26.0,4,Climb (IAS)
165,6026,4.1,115,110,1753,2315,544,7065,2115,695,0.176,25.9,4,Climb (IAS)
170,6172,4.2,116,110,1749,2306,544,7064,2114,693,0.177,25.8,4,Climb (IAS)
175,6317,4.4,116,110,1746,2298,544,7063,2113,690,0.178,25.6,4,Climb (IAS)
180,6462,4.5,116,110,1742,2289,544,7063,2113,688,0.178,25.5,4,Climb (IAS)
