# Flight Simulation Results - C208B Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 2200 lb
# Payload: 0 lb
# Cruise Altitude: 25000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 15:58:44
# Original Data Points: 1476
# Sampled Data Points (5-sec intervals): 1476
# Time Range: 0 - 12440 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,2866,214,7150,2150,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,34,35,0,2761,252,7149,2149,827,0.052,0.0,0,Takeoff Roll
10,2141,0.1,66,67,1207,2671,525,7148,2148,845,0.099,31.5,1,VR to 35 ft
15,2242,0.2,66,68,1216,2656,502,7147,2147,798,0.1,31.6,1,VR to 35 ft
20,2344,0.3,66,68,1215,2650,502,7145,2145,796,0.1,31.5,1,VR to 35 ft
25,2445,0.4,66,68,1214,2644,502,7144,2144,794,0.1,31.4,1,VR to 35 ft
30,2546,0.5,67,68,1213,2638,502,7143,2143,792,0.1,31.3,1,VR to 35 ft
35,2647,0.6,67,68,1211,2632,502,7142,2142,790,0.101,31.2,1,VR to 35 ft
40,2748,0.7,67,68,1210,2625,502,7141,2141,788,0.101,31.1,1,VR to 35 ft
45,2849,0.7,67,68,1209,2619,502,7140,2140,787,0.101,31.1,1,VR to 35 ft
50,2949,0.8,67,68,1208,2613,502,7139,2139,785,0.101,31.0,1,VR to 35 ft
55,3050,0.9,67,68,1207,2607,501,7138,2138,783,0.101,30.9,1,VR to 35 ft
60,3150,1.0,67,68,1206,2601,501,7137,2137,781,0.102,30.8,1,VR to 35 ft
65,3251,1.1,67,68,1205,2595,501,7136,2136,779,0.102,30.7,1,VR to 35 ft
70,3351,1.2,68,68,1204,2589,501,7135,2135,778,0.102,30.6,1,VR to 35 ft
76,3469,1.3,74,74,1319,2565,471,7133,2133,850,0.112,30.7,3,400 ft to 1500 ft
81,3579,1.4,74,74,1318,2559,471,7132,2132,768,0.112,30.6,3,400 ft to 1500 ft
86,3694,1.5,85,85,1512,2536,457,7131,2131,765,0.129,30.5,4,Climb (IAS)
