# Flight Simulation Results - CJ Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 16:44:46
# Original Data Points: 1388
# Sampled Data Points (5-sec intervals): 1388
# Time Range: 0 - 9755 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,3863,152,10140,3340,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,34,35,0,3723,179,10136,3336,2675,0.051,0.0,0,Takeoff Roll
10,2131,0.1,67,68,0,3589,255,10133,3333,2631,0.1,0.0,0,Takeoff Roll
15,2156,0.2,96,98,1503,3474,855,10129,3329,2689,0.144,26.8,1,VR to 35 ft
20,2281,0.4,96,98,1507,3457,838,10125,3325,2492,0.144,26.8,1,VR to 35 ft
25,2407,0.5,96,98,1505,3447,837,10122,3322,2485,0.145,26.7,1,VR to 35 ft
30,2532,0.6,96,98,1504,3437,837,10118,3318,2478,0.145,26.6,1,VR to 35 ft
35,2657,0.8,97,98,1502,3427,836,10115,3315,2471,0.146,26.5,1,VR to 35 ft
40,2783,0.9,97,98,1500,3417,836,10112,3312,2464,0.146,26.4,1,VR to 35 ft
45,2907,1.0,97,98,1499,3408,836,10108,3308,2457,0.146,26.3,1,VR to 35 ft
50,3032,1.2,97,98,1497,3398,835,10105,3305,2450,0.147,26.2,1,VR to 35 ft
55,3157,1.3,98,98,1495,3388,835,10101,3301,2443,0.147,26.1,1,VR to 35 ft
60,3281,1.4,98,98,1493,3378,834,10098,3298,2436,0.148,26.0,1,VR to 35 ft
65,3407,1.6,103,103,1564,3370,834,10095,3295,2429,0.155,25.9,3,400 ft to 1500 ft
70,3544,1.7,107,107,1640,3325,777,10091,3291,2400,0.162,26.1,3,400 ft to 1500 ft
75,3681,1.9,112,112,1711,3315,777,10088,3288,2390,0.17,26.0,4,Climb (IAS)
80,3841,2.0,136,135,2027,3216,734,10085,3285,2344,0.206,25.4,4,Climb (IAS)
85,4020,2.2,159,157,2227,3121,783,10082,3282,2274,0.24,23.8,4,Climb (IAS)
90,4211,2.5,180,177,2324,3035,879,10079,3279,2210,0.273,21.9,4,Climb (IAS)
95,4406,2.7,199,196,2337,2958,999,10076,3276,2151,0.302,19.8,4,Climb (IAS)
100,4597,3.0,204,200,2277,2918,1057,10073,3273,2108,0.31,18.8,4,Climb (IAS)
105,4787,3.3,205,200,2270,2905,1057,10070,3270,2095,0.312,18.7,4,Climb (IAS)
110,4975,3.6,206,200,2262,2892,1057,10067,3267,2086,0.313,18.5,4,Climb (IAS)
115,5164,3.9,206,200,2254,2879,1056,10064,3264,2077,0.314,18.4,4,Climb (IAS)
120,5351,4.2,207,200,2246,2866,1056,10061,3261,2067,0.316,18.3,4,Climb (IAS)
125,5538,4.5,208,200,2238,2853,1056,10058,3258,2058,0.317,18.2,4,Climb (IAS)
130,5724,4.8,208,200,2230,2840,1056,10055,3255,2048,0.318,18.0,4,Climb (IAS)
135,5909,5.0,209,200,2222,2827,1055,10053,3253,2039,0.32,17.9,4,Climb (IAS)
140,6094,5.3,210,200,2214,2814,1055,10050,3250,2030,0.321,17.8,4,Climb (IAS)
145,6278,5.6,210,200,2206,2801,1055,10047,3247,2020,0.322,17.6,4,Climb (IAS)
150,6462,5.9,211,200,2198,2788,1055,10044,3244,2011,0.324,17.5,4,Climb (IAS)
155,6644,6.2,212,200,2189,2775,1054,10041,3241,2002,0.325,17.4,4,Climb (IAS)
160,6826,6.5,213,200,2181,2763,1054,10039,3239,1993,0.326,17.3,4,Climb (IAS)
165,7008,6.8,213,200,2173,2750,1054,10036,3236,1984,0.328,17.1,4,Climb (IAS)
170,7188,7.1,214,200,2164,2737,1054,10033,3233,1974,0.329,17.0,4,Climb (IAS)
175,7368,7.4,215,200,2156,2725,1054,10030,3230,1965,0.33,16.9,4,Climb (IAS)
180,7548,7.7,215,200,2148,2712,1053,10028,3228,1956,0.332,16.8,4,Climb (IAS)
185,7726,8.0,216,200,2139,2700,1053,10025,3225,1947,0.333,16.7,4,Climb (IAS)
190,7904,8.3,217,200,2131,2687,1053,10022,3222,1938,0.334,16.5,4,Climb (IAS)
195,8081,8.6,217,200,2122,2675,1053,10020,3220,1929,0.336,16.4,4,Climb (IAS)
200,8257,8.9,218,200,2113,2662,1052,10017,3217,1920,0.337,16.3,4,Climb (IAS)
205,8433,9.2,219,200,2105,2650,1052,10014,3214,1912,0.338,16.2,4,Climb (IAS)
210,8608,9.5,220,200,2096,2638,1052,10012,3212,1903,0.34,16.0,4,Climb (IAS)
215,8782,9.8,220,200,2087,2626,1052,10009,3209,1894,0.341,15.9,4,Climb (IAS)
220,8956,10.1,221,200,2078,2614,1051,10006,3206,1885,0.342,15.8,4,Climb (IAS)
225,9129,10.4,222,200,2070,2601,1051,10004,3204,1876,0.344,15.7,4,Climb (IAS)
230,9301,10.7,222,200,2061,2589,1051,10001,3201,1868,0.345,15.6,4,Climb (IAS)
235,9472,11.0,223,200,2052,2577,1051,9999,3199,1859,0.346,15.5,4,Climb (IAS)
240,9642,11.4,224,200,2043,2565,1050,9996,3196,1851,0.348,15.3,4,Climb (IAS)
245,9812,11.7,224,200,2034,2554,1050,9993,3193,1842,0.349,15.2,4,Climb (IAS)
250,9981,12.0,225,200,2025,2542,1050,9991,3191,1833,0.35,15.1,4,Climb (IAS)
