# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 16:44:45
# Original Data Points: 2013
# Sampled Data Points (5-sec intervals): 2013
# Time Range: 0 - 10060 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,3863,153,10219,3340,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,34,35,0,3724,179,10215,3336,2675,0.051,0.0,0,Takeoff Roll
10,2131,0.1,66,68,0,3591,253,10212,3333,2632,0.099,0.0,0,Takeoff Roll
15,2169,0.2,92,94,1542,3481,665,10208,3329,2692,0.138,28.7,1,VR to 35 ft
20,2298,0.3,92,94,1540,3471,665,10204,3325,2502,0.139,28.6,1,VR to 35 ft
25,2426,0.5,92,94,1539,3461,665,10201,3322,2495,0.139,28.5,1,VR to 35 ft
30,2554,0.6,93,94,1537,3451,664,10197,3318,2488,0.139,28.4,1,VR to 35 ft
35,2682,0.7,93,94,1536,3441,664,10194,3315,2481,0.14,28.3,1,VR to 35 ft
40,2810,0.9,93,94,1534,3431,664,10191,3312,2473,0.14,28.2,1,VR to 35 ft
45,2938,1.0,93,94,1533,3421,663,10187,3308,2466,0.141,28.1,1,VR to 35 ft
50,3066,1.1,93,94,1531,3411,663,10184,3305,2459,0.141,28.0,1,VR to 35 ft
55,3193,1.2,94,94,1530,3401,663,10180,3301,2452,0.141,27.9,1,VR to 35 ft
60,3320,1.4,94,94,1528,3391,662,10177,3298,2444,0.142,27.8,1,VR to 35 ft
66,3467,1.5,103,102,1668,3348,625,10173,3294,2673,0.155,27.8,3,400 ft to 1500 ft
71,3606,1.7,103,102,1666,3337,625,10170,3291,2406,0.156,27.7,3,400 ft to 1500 ft
76,3757,1.8,123,122,1959,3269,604,10167,3288,2381,0.186,27.2,4,Climb (IAS)
81,3934,2.0,147,146,2214,3168,650,10163,3284,2310,0.223,25.6,4,Climb (IAS)
86,4126,2.2,170,168,2356,3075,748,10160,3281,2240,0.258,23.5,4,Climb (IAS)
91,4324,2.5,183,180,2349,3004,847,10157,3278,2179,0.278,21.7,4,Climb (IAS)
96,4519,2.7,184,180,2343,2990,846,10154,3275,2157,0.279,21.6,4,Climb (IAS)
101,4714,3.0,184,180,2337,2976,846,10151,3272,2147,0.28,21.5,4,Climb (IAS)
106,4908,3.3,185,180,2330,2962,846,10148,3269,2137,0.281,21.3,4,Climb (IAS)
111,5102,3.5,186,180,2323,2948,846,10145,3266,2127,0.283,21.2,4,Climb (IAS)
116,5296,3.8,186,180,2317,2935,846,10142,3263,2117,0.284,21.0,4,Climb (IAS)
121,5488,4.0,187,180,2310,2921,846,10139,3260,2107,0.285,20.9,4,Climb (IAS)
126,5680,4.3,187,180,2303,2907,845,10137,3258,2097,0.286,20.8,4,Climb (IAS)
131,5872,4.6,188,180,2297,2893,845,10134,3255,2087,0.287,20.6,4,Climb (IAS)
136,6063,4.8,189,180,2290,2880,845,10131,3252,2077,0.289,20.5,4,Climb (IAS)
141,6254,5.1,189,180,2283,2866,845,10128,3249,2067,0.29,20.4,4,Climb (IAS)
146,6443,5.3,190,180,2276,2852,845,10125,3246,2057,0.291,20.2,4,Climb (IAS)
151,6633,5.6,191,180,2269,2839,845,10122,3243,2048,0.292,20.1,4,Climb (IAS)
156,6822,5.9,191,180,2262,2825,844,10119,3240,2038,0.294,20.0,4,Climb (IAS)
161,7010,6.1,192,180,2255,2811,844,10117,3238,2028,0.295,19.8,4,Climb (IAS)
166,7197,6.4,193,180,2248,2798,844,10114,3235,2018,0.296,19.7,4,Climb (IAS)
171,7384,6.7,193,180,2240,2784,844,10111,3232,2009,0.297,19.6,4,Climb (IAS)
176,7570,6.9,194,180,2233,2771,844,10108,3229,1999,0.299,19.4,4,Climb (IAS)
181,7756,7.2,195,180,2226,2758,843,10105,3226,1989,0.3,19.3,4,Climb (IAS)
186,7941,7.5,195,180,2218,2744,843,10103,3224,1980,0.301,19.2,4,Climb (IAS)
191,8126,7.8,196,180,2211,2731,843,10100,3221,1970,0.302,19.0,4,Climb (IAS)
196,8310,8.0,197,180,2203,2718,843,10097,3218,1961,0.304,18.9,4,Climb (IAS)
201,8493,8.3,197,180,2196,2705,843,10094,3215,1951,0.305,18.8,4,Climb (IAS)
206,8676,8.6,198,180,2188,2691,843,10092,3213,1942,0.306,18.6,4,Climb (IAS)
211,8857,8.9,199,180,2181,2678,842,10089,3210,1932,0.308,18.5,4,Climb (IAS)
216,9039,9.1,199,180,2173,2665,842,10086,3207,1923,0.309,18.4,4,Climb (IAS)
221,9220,9.4,200,180,2166,2652,842,10084,3205,1913,0.31,18.2,4,Climb (IAS)
226,9400,9.7,201,180,2158,2639,842,10081,3202,1904,0.311,18.1,4,Climb (IAS)
231,9579,10.0,201,180,2150,2626,842,10078,3199,1895,0.313,18.0,4,Climb (IAS)
236,9758,10.2,202,180,2142,2613,841,10076,3197,1885,0.314,17.9,4,Climb (IAS)
241,9936,10.5,203,180,2134,2601,841,10073,3194,1876,0.315,17.7,4,Climb (IAS)
246,10113,10.8,203,180,2127,2588,841,10071,3192,1867,0.317,17.6,4,Climb (IAS)
251,10290,11.1,204,180,2119,2575,841,10068,3189,1858,0.318,17.5,4,Climb (IAS)
256,10466,11.4,205,180,2111,2562,841,10066,3187,1849,0.319,17.4,4,Climb (IAS)
261,10642,11.7,205,180,2103,2550,841,10063,3184,1839,0.32,17.2,4,Climb (IAS)
266,10817,11.9,206,180,2095,2537,840,10060,3181,1830,0.322,17.1,4,Climb (IAS)
271,10991,12.2,207,180,2087,2525,840,10058,3179,1821,0.323,17.0,4,Climb (IAS)
276,11164,12.5,207,180,2079,2512,840,10055,3176,1812,0.324,16.9,4,Climb (IAS)
281,11337,12.8,208,180,2070,2500,840,10053,3174,1803,0.326,16.7,4,Climb (IAS)
286,11509,13.1,209,180,2062,2487,840,10050,3171,1794,0.327,16.6,4,Climb (IAS)
291,11681,13.4,209,180,2054,2475,839,10048,3169,1786,0.328,16.5,4,Climb (IAS)
296,11852,13.7,210,180,2046,2463,839,10045,3166,1777,0.33,16.4,4,Climb (IAS)
301,12022,14.0,211,180,2038,2451,839,10043,3164,1768,0.331,16.3,4,Climb (IAS)
306,12191,14.3,211,180,2029,2438,839,10041,3162,1759,0.332,16.1,4,Climb (IAS)
311,12360,14.6,212,180,2021,2426,839,10038,3159,1750,0.334,16.0,4,Climb (IAS)
316,12528,14.9,213,180,2013,2414,838,10036,3157,1742,0.335,15.9,4,Climb (IAS)
321,12695,15.1,213,180,2004,2402,838,10033,3154,1733,0.336,15.8,4,Climb (IAS)
326,12862,15.4,214,180,1996,2390,838,10031,3152,1725,0.338,15.7,4,Climb (IAS)
331,13028,15.7,215,180,1988,2379,838,10028,3149,1716,0.339,15.5,4,Climb (IAS)
336,13193,16.0,215,180,1979,2367,838,10026,3147,1707,0.34,15.4,4,Climb (IAS)
341,13357,16.3,216,180,1971,2355,838,10024,3145,1699,0.342,15.3,4,Climb (IAS)
346,13521,16.6,217,180,1962,2343,837,10021,3142,1691,0.343,15.2,4,Climb (IAS)
351,13684,16.9,218,180,1954,2332,837,10019,3140,1682,0.344,15.1,4,Climb (IAS)
356,13847,17.2,218,180,1945,2320,837,10017,3138,1674,0.346,15.0,4,Climb (IAS)
361,14008,17.6,219,180,1937,2309,837,10014,3135,1665,0.347,14.9,4,Climb (IAS)
366,14169,17.9,220,180,1928,2297,837,10012,3133,1657,0.348,14.7,4,Climb (IAS)
371,14330,18.2,220,180,1920,2286,836,10010,3131,1649,0.35,14.6,4,Climb (IAS)
376,14489,18.5,221,180,1911,2274,836,10008,3129,1641,0.351,14.5,4,Climb (IAS)
381,14648,18.8,222,180,1903,2263,836,10005,3126,1633,0.352,14.4,4,Climb (IAS)
386,14806,19.1,222,180,1894,2252,836,10003,3124,1625,0.354,14.3,4,Climb (IAS)
391,14963,19.4,223,180,1885,2241,836,10001,3122,1616,0.355,14.2,4,Climb (IAS)
396,15120,19.7,224,180,1877,2230,835,9999,3120,1608,0.356,14.1,4,Climb (IAS)
401,15276,20.0,224,180,1868,2218,835,9996,3117,1600,0.358,14.0,4,Climb (IAS)
406,15431,20.3,225,180,1859,2207,835,9994,3115,1593,0.359,13.9,4,Climb (IAS)
411,15586,20.6,226,180,1851,2197,835,9992,3113,1585,0.36,13.8,4,Climb (IAS)
416,15740,21.0,226,180,1842,2186,835,9990,3111,1577,0.362,13.6,4,Climb (IAS)
421,15893,21.3,227,180,1833,2175,834,9988,3109,1569,0.363,13.5,4,Climb (IAS)
426,16045,21.6,228,180,1825,2164,834,9985,3106,1561,0.364,13.4,4,Climb (IAS)
431,16197,21.9,228,180,1816,2153,834,9983,3104,1554,0.366,13.3,4,Climb (IAS)
436,16348,22.2,229,180,1807,2143,834,9981,3102,1546,0.367,13.2,4,Climb (IAS)
441,16498,22.5,230,180,1798,2132,834,9979,3100,1538,0.368,13.1,4,Climb (IAS)
446,16647,22.9,230,180,1790,2122,833,9977,3098,1531,0.37,13.0,4,Climb (IAS)
451,16796,23.2,231,180,1781,2111,833,9975,3096,1523,0.371,12.9,4,Climb (IAS)
456,16944,23.5,232,180,1772,2101,833,9973,3094,1516,0.372,12.8,4,Climb (IAS)
461,17091,23.8,232,180,1763,2091,833,9970,3091,1508,0.374,12.7,4,Climb (IAS)
466,17238,24.1,233,180,1755,2080,833,9968,3089,1501,0.375,12.6,4,Climb (IAS)
471,17383,24.5,234,180,1746,2070,832,9966,3087,1493,0.376,12.5,4,Climb (IAS)
476,17528,24.8,234,180,1737,2060,832,9964,3085,1486,0.378,12.4,4,Climb (IAS)
481,17673,25.1,235,180,1728,2050,832,9962,3083,1479,0.379,12.3,4,Climb (IAS)
486,17816,25.4,236,180,1720,2040,832,9960,3081,1472,0.38,12.2,4,Climb (IAS)
491,17959,25.8,236,180,1711,2030,832,9958,3079,1464,0.382,12.1,4,Climb (IAS)
496,18101,26.1,237,180,1703,2021,831,9956,3077,1457,0.383,12.0,4,Climb (IAS)
501,18243,26.4,238,180,1695,2012,831,9954,3075,1451,0.384,11.9,4,Climb (IAS)
506,18384,26.8,238,180,1687,2003,831,9952,3073,1445,0.385,11.9,4,Climb (IAS)
511,18524,27.1,239,180,1680,1995,831,9950,3071,1439,0.387,11.8,4,Climb (IAS)
516,18664,27.4,239,180,1672,1986,831,9948,3069,1433,0.388,11.7,4,Climb (IAS)
521,18802,27.8,240,180,1664,1978,831,9946,3067,1427,0.389,11.6,4,Climb (IAS)
526,18941,28.1,241,180,1657,1970,830,9944,3065,1420,0.39,11.5,4,Climb (IAS)
531,19078,28.4,241,180,1649,1961,830,9942,3063,1414,0.391,11.4,4,Climb (IAS)
536,19216,28.8,242,180,1641,1953,830,9940,3061,1408,0.392,11.4,4,Climb (IAS)
541,19352,29.1,242,180,1634,1945,830,9938,3059,1402,0.394,11.3,4,Climb (IAS)
546,19488,29.4,243,180,1626,1936,830,9936,3057,1397,0.395,11.2,4,Climb (IAS)
551,19623,29.8,243,180,1618,1928,829,9934,3055,1391,0.396,11.1,4,Climb (IAS)
556,19757,30.1,244,180,1611,1920,829,9932,3053,1385,0.397,11.0,4,Climb (IAS)
561,19891,30.5,245,180,1603,1912,829,9931,3052,1379,0.398,11.0,4,Climb (IAS)
566,20024,30.8,245,180,1596,1904,829,9929,3050,1373,0.399,10.9,4,Climb (IAS)
571,20157,31.1,246,180,1588,1896,829,9927,3048,1367,0.401,10.8,4,Climb (IAS)
576,20289,31.5,246,180,1580,1888,829,9925,3046,1362,0.402,10.7,4,Climb (IAS)
581,20420,31.8,247,180,1573,1880,828,9923,3044,1356,0.403,10.7,4,Climb (IAS)
586,20551,32.2,247,180,1565,1872,828,9921,3042,1350,0.404,10.6,4,Climb (IAS)
591,20681,32.5,248,180,1558,1864,828,9919,3040,1345,0.405,10.5,4,Climb (IAS)
596,20810,32.8,249,180,1550,1857,828,9917,3038,1339,0.406,10.4,4,Climb (IAS)
601,20939,33.2,249,180,1542,1849,828,9916,3037,1333,0.408,10.4,4,Climb (IAS)
606,21067,33.5,250,180,1535,1841,827,9914,3035,1328,0.409,10.3,4,Climb (IAS)
611,21195,33.9,250,180,1527,1834,827,9912,3033,1322,0.41,10.2,4,Climb (IAS)
616,21322,34.2,251,180,1520,1826,827,9910,3031,1317,0.411,10.1,4,Climb (IAS)
621,21448,34.6,251,180,1512,1819,827,9908,3029,1312,0.412,10.1,4,Climb (IAS)
626,21574,34.9,252,180,1505,1811,827,9906,3027,1306,0.413,10.0,4,Climb (IAS)
